date, pm25, pm10, o3, no2, so2, co
2021/11/2, 158, 52, , 18, 3, 5
2021/11/3, 140, 61, , 20, 6, 7
2021/11/4, 138, 61, , 28, 7, 8
2021/11/5, 160, 31, , 18, 1, 6
2021/11/6, 95, 17, , 15, 1, 4
2021/11/7, 61, 25, , 12, 3, 4
2021/11/8, 68, 33, , 7, 2, 3
2021/11/9, 67, 45, , 16, 4, 5
2021/11/10, 85, 50, , 20, 4, 5
2021/11/11, 102, 53, , 25, 6, 6
2021/11/12, 107, 48, , 22, 6, 5
2021/11/13, 107, 66, , 26, 5, 7
2021/11/14, 138, 65, , 26, 5, 7
2021/11/15, 140, 67, , 30, 7, 6
2021/11/16, 149, 85, , 42, 8, 10
2021/11/17, 171, 93, , 35, 8, 9
2021/11/18, 175, 73, 41, 27, 7, 7
2021/11/19, 157, 48, 33, 29, 7, 7
2021/11/20, 146, , , , , 
2021/10/2, 96, 52, , 12, 4, 7
2021/10/3, 117, 39, , 9, 4, 5
2021/10/4, 86, 40, , 11, 3, 5
2021/10/5, 85, 47, , 13, 4, 6
2021/10/6, 92, 45, , 14, 3, 6
2021/10/7, 89, 42, , 13, 3, 6
2021/10/8, 92, 46, , 12, 1, 6
2021/10/9, 79, 41, , 15, 3, 6
2021/10/10, 72, 33, , 11, 5, 6
2021/10/11, 77, 16, , 7, 1, 3
2021/10/12, 54, 16, , 7, 3, 3
2021/10/13, 44, 20, , 9, 1, 4
2021/10/14, 36, 34, , 12, 1, 5
2021/10/15, 58, 6, , 10, 1, 5
2021/10/16, 39, 18, , 9, 1, 3
2021/10/17, 66, 15, , 9, 1, 3
2021/10/18, 46, 36, , 14, 5, 5
2021/10/19, 77, 54, , 18, 5, 6
2021/10/20, 108, 31, , 14, 2, 3
2021/10/21, 65, 68, , 16, 3, 4
2021/10/22, 117, 125, , 20, 3, 6
2021/10/23, 167, 108, , 26, 4, 6
2021/10/24, 150, 45, , 20, 3, 5
2021/10/25, 87, 56, , 23, 3, 5
2021/10/26, 116, 61, , 21, 5, 6
2021/10/27, 124, 86, , 26, 4, 7
2021/10/28, 160, 34, , 17, 3, 5
2021/10/29, 88, 46, , 24, 3, 6
2021/10/30, 103, 68, , 31, 4, 7
2021/10/31, 153, 69, , 29, 8, 8
2021/11/1, 161, 62, , 22, 8, 8
2021/9/2, 95, 25, , 8, 3, 7
2021/9/3, 57, 19, , 5, 2, 6
2021/9/4, 56, 39, , 14, 3, 7
2021/9/5, 70, 41, , 12, 3, 7
2021/9/6, 79, 28, , 8, 1, 6
2021/9/7, 68, 22, , 7, 1, 5
2021/9/8, 53, 39, , 15, 3, 7
2021/9/9, 90, 45, , 15, 4, 8
2021/9/10, 98, 54, , 14, 3, 9
2021/9/11, 134, 34, , 14, 3, 7
2021/9/12, 83, 24, , 6, 2, 5
2021/9/13, 62, 18, , 3, 2, 4
2021/9/14, 41, 30, , 4, 1, 4
2021/9/15, 73, 34, , 7, 2, 5
2021/9/16, 79, 26, , 7, 1, 4
2021/9/17, 66, 42, , 13, 2, 5
2021/9/18, 98, 54, , 14, 5, 8
2021/9/19, 117, 50, , 11, 2, 7
2021/9/20, 96, 29, , 8, 2, 7
2021/9/21, 72, 28, , 9, 3, 7
2021/9/22, 60, 40, , 12, 4, 7
2021/9/23, 88, 61, , 23, 4, 8
2021/9/24, 128, 52, , 15, 5, 8
2021/9/25, 111, 38, , 12, 3, 5
2021/9/26, 75, 39, , 13, 3, 6
2021/9/27, 74, 52, , 12, 4, 6
2021/9/28, 99, 65, , 16, 3, 8
2021/9/29, 130, 26, , 11, 1, 6
2021/9/30, 72, 27, , 16, 3, 5
