date, pm25, pm10, o3, no2, so2, co
2021/11/2, 117, 74, 30, 27, 5, 
2021/11/3, 136, 101, 47, 30, 11, 
2021/11/4, 184, 104, 55, 30, 9, 
2021/11/5, 189, 96, 49, 32, 7, 
2021/11/6, 154, 51, 34, 23, 3, 
2021/11/7, 120, 32, 23, 14, 3, 
2021/11/8, 88, 31, 31, 11, 5, 
2021/11/9, 71, 41, 31, 18, 7, 
2021/11/10, 75, 51, 30, 22, 8, 
2021/11/11, 90, 48, 30, 20, 10, 
2021/11/12, 75, 75, 27, 29, 15, 
2021/11/13, 131, 91, 34, 32, 17, 
2021/11/14, 160, 115, 9, 36, 20, 
2021/11/15, 171, 125, , 42, 15, 
2021/11/16, 182, 121, 29, 33, 12, 
2021/11/17, 181, 127, 69, 32, 14, 
2021/11/18, 199, 104, 55, 23, 13, 
2021/11/19, 178, 114, 33, 33, 10, 
2021/11/20, 187, 116, 3, 28, 12, 
2021/11/21, 190, , , , , 
2021/10/2, 142, 73, 89, 17, 5, 
2021/10/3, 148, 65, 78, 19, 6, 
2021/10/4, 134, 28, 30, 10, 4, 
2021/10/5, 68, 25, 26, 10, 4, 
2021/10/6, 61, 22, 25, 11, 4, 
2021/10/7, 59, 35, 23, 15, 3, 
2021/10/8, 101, 73, 32, 28, 9, 
2021/10/9, 159, 75, 25, 24, 6, 
2021/10/10, 166, 46, 27, 15, 6, 
2021/10/11, 85, 58, 40, 22, 11, 
2021/10/12, 87, 70, 52, 29, 10, 
2021/10/13, 111, 90, 101, 36, 12, 
2021/10/14, 160, 100, 65, 35, 11, 
2021/10/15, 177, 84, 22, 25, 9, 
2021/10/16, 179, 46, 31, 14, 5, 
2021/10/17, 51, 57, 31, 24, 10, 
2021/10/18, 95, 62, 39, 24, 10, 
2021/10/19, 108, 61, 30, 23, 6, 
2021/10/20, 101, 68, 31, 27, 11, 
2021/10/21, 124, 92, 39, 27, 9, 
2021/10/22, 178, 80, 33, 28, 9, 
2021/10/23, 130, 73, 44, 31, 8, 
2021/10/24, 115, 98, 59, 36, 10, 
2021/10/25, 165, 111, 79, 35, 12, 
2021/10/26, 181, 102, 63, 33, 11, 
2021/10/27, 174, 114, 50, 34, 9, 
2021/10/28, 186, 110, 67, 42, 12, 
2021/10/29, 176, 115, 70, 36, 10, 
2021/10/30, 187, 110, 73, 35, 11, 
2021/10/31, 185, 124, 62, 32, 12, 
2021/11/1, 213, 61, 36, 18, 5, 
2021/9/2, 86, 65, 96, 20, 5, 
2021/9/3, 143, 60, 69, 21, 5, 
2021/9/4, 128, 37, 46, 16, 4, 
2021/9/5, 97, 16, 40, 8, 2, 
2021/9/6, 57, 13, 35, 7, 3, 
2021/9/7, 52, 40, 58, 12, 5, 
2021/9/8, 97, 50, 69, 18, 6, 
2021/9/9, 94, 55, 75, 16, 6, 
2021/9/10, 106, 59, 92, 15, 8, 
2021/9/11, 117, 57, 95, 11, 6, 
2021/9/12, 112, 67, 111, 16, 6, 
2021/9/13, 136, 61, 100, 16, 5, 
2021/9/14, 108, 50, 61, 11, 4, 
2021/9/15, 84, 61, 114, 19, 8, 
2021/9/16, 104, 72, 121, 17, 10, 
2021/9/17, 146, 42, 46, 9, 4, 
2021/9/18, 90, 46, 42, 18, 7, 
2021/9/19, 84, 26, 29, 20, 3, 
2021/9/20, 84, 14, 37, 9, 3, 
2021/9/21, 60, 43, 69, 12, 5, 
2021/9/22, 93, 60, 102, 24, 7, 
2021/9/23, 101, 60, 56, 28, 4, 
2021/9/24, 130, 56, 64, 19, 4, 
2021/9/25, 97, 23, 38, 13, 2, 
2021/9/26, 67, 25, 31, 17, 3, 
2021/9/27, 71, 26, 30, 12, 4, 
2021/9/28, 69, 41, 27, 19, 6, 
2021/9/29, 91, 62, 65, 25, 8, 
2021/9/30, 129, 60, 75, 21, 7, 
2021/10/1, 107, 66, 75, 16, 10, 
2021/8/2, 70, 42, 106, 12, 2, 
2021/8/3, 90, 46, 105, 11, 3, 
2021/8/4, 82, 49, 102, 13, 4, 
2021/8/5, 89, 44, 44, 15, 4, 
2021/8/6, 85, 56, 108, 14, 6, 
2021/8/7, 118, 76, 121, 21, 6, 
2021/8/8, 154, 81, 130, 20, 7, 
2021/8/9, 158, 91, 135, 26, 8, 
2021/8/10, 160, 62, 97, 12, 4, 
2021/8/11, 132, 63, 111, 14, 4, 
2021/8/12, 141, 73, 86, 18, 5, 
2021/8/13, 154, 65, 67, 15, 6, 
2021/8/14, 119, 57, 60, 14, 4, 
2021/8/15, 94, 59, 96, 18, 6, 
2021/8/16, 93, 65, 115, 17, 5, 
2021/8/17, 127, 66, 98, 17, 7, 
2021/8/18, 135, 54, 93, 15, 5, 
2021/8/19, 98, 62, 98, 17, 5, 
2021/8/20, 127, 43, 46, 15, 2, 
2021/8/21, 112, 61, 106, 14, 7, 
2021/8/22, 142, 63, 72, 15, 4, 
2021/8/23, 127, 48, 49, 16, 4, 
2021/8/24, 93, 65, 69, 17, 4, 
2021/8/25, 98, 61, 73, 13, 3, 
2021/8/26, 97, 61, 84, 17, 9, 
2021/8/27, 94, 43, 57, 12, 5, 
2021/8/28, 102, 64, 100, 17, 7, 
2021/8/29, 137, 27, 43, 12, 2, 
2021/8/30, 86, 38, 24, 16, 2, 
2021/8/31, 111, 16, 37, 11, 2, 
2021/9/1, 54, 39, 62, 11, 3, 
