date, pm25, pm10, o3, no2, so2, co
2021/11/2, 65, 35, 31, 7, 4, 5
2021/11/3, 79, 35, 24, 8, 4, 6
2021/11/4, 83, 20, 22, 7, 4, 7
2021/11/5, 55, 22, 20, 8, 7, 8
2021/11/6, 61, 21, 11, 8, 7, 7
2021/11/7, 54, 27, 20, 6, 5, 4
2021/11/8, 70, 48, 30, 8, 7, 4
2021/11/9, 90, 50, 21, 11, 7, 4
2021/11/10, 103, 57, 32, 13, 9, 5
2021/11/11, 105, 70, 22, 17, 13, 6
2021/11/12, 145, 60, 30, 11, 7, 3
2021/11/13, 134, 64, 20, 15, 12, 6
2021/11/14, 134, 80, 25, 16, 17, 9
2021/11/15, 158, 74, 16, 19, 18, 8
2021/11/16, 151, 40, 22, 10, 6, 5
2021/11/17, 101, 57, 31, 12, 10, 5
2021/11/18, 118, 58, 31, 15, 12, 8
2021/11/19, 123, 50, 17, 15, 12, 7
2021/11/20, 109, 38, 11, 11, 9, 7
2021/11/21, 90, , , , , 
2021/10/2, 90, 48, 53, 9, 5, 6
2021/10/3, 91, 41, 43, 5, 4, 3
2021/10/4, 84, 40, 38, 5, 3, 3
2021/10/5, 85, 35, 43, 5, 4, 3
2021/10/6, 76, 43, 47, 10, 5, 4
2021/10/7, 92, 39, 39, 7, 2, 5
2021/10/8, 90, 31, 44, 3, 2, 4
2021/10/9, 71, 33, 33, 7, 2, 5
2021/10/10, 75, 20, 19, 8, 2, 6
2021/10/11, 59, 15, 26, 6, 2, 6
2021/10/12, 48, 27, 25, 8, 2, 5
2021/10/13, 69, 29, 15, 11, 3, 7
2021/10/14, 63, 16, 14, 10, 2, 6
2021/10/15, 61, 14, 24, 7, 2, 4
2021/10/16, 52, 18, 27, 7, 2, 4
2021/10/17, 55, 20, 26, 4, 2, 3
2021/10/18, 63, 26, 18, 6, 3, 4
2021/10/19, 68, 24, 11, 8, 3, 4
2021/10/20, 67, 16, 18, 8, 3, 3
2021/10/21, 53, 20, 19, 7, 4, 3
2021/10/22, 57, 26, 29, 7, 5, 4
2021/10/23, 71, 38, 34, 7, 7, 4
2021/10/24, 86, 50, 39, 9, 11, 6
2021/10/25, 90, 38, 38, 6, 7, 4
2021/10/26, 95, 41, 34, 6, 7, 5
2021/10/27, 95, 49, 27, 7, 8, 6
2021/10/28, 110, 43, 27, 6, 5, 6
2021/10/29, 100, 35, 23, 8, 7, 7
2021/10/30, 87, 38, 27, 6, 6, 6
2021/10/31, 84, 33, 28, 7, 5, 6
2021/11/1, 79, 24, 34, 7, 4, 6
2021/9/2, 64, 33, 37, 7, 4, 4
2021/9/3, 67, 35, 34, 6, 4, 3
2021/9/4, 61, 38, 38, 9, 5, 4
2021/9/5, 66, 41, 38, 9, 4, 4
2021/9/6, 77, 33, 36, 6, 4, 4
2021/9/7, 63, 23, 44, 6, 2, 4
2021/9/8, 58, 43, 62, 10, 3, 5
2021/9/9, 76, 45, 54, 10, 3, 5
2021/9/10, 85, 46, 68, 11, 3, 5
2021/9/11, 94, 46, 46, 10, 3, 5
2021/9/12, 83, 26, 35, 7, 2, 4
2021/9/13, 64, 42, 45, 8, 2, 6
2021/9/14, 81, 44, 48, 6, 2, 3
2021/9/15, 82, 37, 46, 4, 2, 3
2021/9/16, 86, 34, 29, 7, 3, 3
2021/9/17, 70, 31, 27, 8, 2, 4
2021/9/18, 56, 23, 24, 6, 2, 3
2021/9/19, 55, 23, 29, 7, 2, 3
2021/9/20, 56, 28, 51, 10, 2, 4
2021/9/21, 62, 36, 47, 11, 4, 5
2021/9/22, 63, 38, 37, 10, 3, 4
2021/9/23, 73, 34, 30, 7, 3, 3
2021/9/24, 69, 33, 32, 5, 3, 4
2021/9/25, 65, 30, 30, 5, 4, 3
2021/9/26, 59, 35, 38, 7, 4, 4
2021/9/27, 63, 50, 45, 12, 5, 5
2021/9/28, 92, 43, 38, 10, 4, 6
2021/9/29, 79, 29, 52, 11, 3, 5
2021/9/30, 68, 43, 69, 13, 4, 6
2021/10/1, 80, 44, 69, 12, 5, 6
2021/8/2, 71, 42, 66, 11, 3, 4
2021/8/3, 73, 39, 61, 10, 3, 4
2021/8/4, 66, 41, 60, 9, 3, 7
2021/8/5, 75, 43, 66, 10, 3, 6
2021/8/6, 76, 40, 55, 10, 3, 5
2021/8/7, 74, 35, 47, 8, 3, 4
2021/8/8, 71, 36, 44, 6, 3, 5
2021/8/9, 74, 18, 28, 7, 2, 4
2021/8/10, 48, , , , , 
2021/8/21, 68, 40, 43, 7, 3, 4
2021/8/22, 71, 30, 35, 6, 4, 4
2021/8/23, 75, 25, 33, 6, 2, 3
2021/8/24, 55, 27, 35, 9, 3, 4
2021/8/25, 54, 30, 30, 6, 2, 4
2021/8/26, 56, 18, 22, 6, 2, 5
2021/8/27, 55, 23, 24, 7, 2, 4
2021/8/28, 53, 31, 32, 8, 4, 3
2021/8/29, 63, 32, 35, 7, 4, 3
2021/8/30, 63, 27, 33, 6, 4, 3
2021/8/31, 63, 34, 38, 8, 4, 4
2021/9/1, 62, 31, 37, 8, 4, 5
2021/7/2, 45, 29, 41, 8, 3, 7
2021/7/3, 68, 19, 41, 8, 3, 5
2021/7/4, 50, 28, 38, 7, 3, 6
2021/7/5, 65, 23, 20, 7, 3, 5
2021/7/6, 57, 29, 36, 9, 3, 6
