date, pm25, pm10, o3, no2, so2, co
2021/11/2, 86, 44, 8, 16, 2, 5
2021/11/3, 98, 51, 8, 19, 2, 6
2021/11/4, 105, 57, 13, 24, 2, 6
2021/11/5, 118, 62, 19, 22, 2, 6
2021/11/6, 147, 47, 23, 15, 4, 5
2021/11/7, 109, 45, 26, 11, 2, 3
2021/11/8, 65, 59, 19, 17, 3, 3
2021/11/9, 88, 64, 26, 22, 4, 3
2021/11/10, 107, 66, 30, 23, 6, 5
2021/11/11, 131, 67, 21, 30, 3, 7
2021/11/12, 137, , , , , 
2021/10/2, 117, 57, 61, 19, 2, 6
2021/10/3, 122, 56, 64, 15, 3, 5
2021/10/4, 116, 26, 28, 7, 2, 2
2021/10/5, 64, 10, 25, 7, 1, 2
2021/10/6, 30, 18, 21, 13, 1, 4
2021/10/7, 45, 27, 24, 16, 2, 5
2021/10/8, 59, 34, 11, 16, 2, 6
2021/10/9, 65, 26, 16, 12, 2, 6
2021/10/10, 60, 8, 19, 10, 2, 4
2021/10/11, 21, 33, 18, 20, 2, 4
2021/10/12, 62, 46, 14, 16, 2, 5
2021/10/13, 94, 66, 17, 23, 2, 8
2021/10/14, 138, 41, 17, 16, 3, 6
2021/10/15, 76, 48, 19, 18, 2, 4
2021/10/16, 79, 52, 14, 17, 2, 3
2021/10/17, 101, 28, 19, 13, 1, 3
2021/10/18, 69, 40, 14, 15, 2, 4
2021/10/19, 91, 52, 10, 18, 2, 5
2021/10/20, 127, 24, 16, 13, 2, 4
2021/10/21, 57, 32, 10, 16, 2, 5
2021/10/22, 68, 27, 21, 18, 2, 5
2021/10/23, 72, 49, 15, 18, 2, 6
2021/10/24, 115, 53, 20, 20, 2, 6
2021/10/25, 136, 68, 13, 22, 2, 7
2021/10/26, 156, 48, 27, 20, 2, 6
2021/10/27, 112, 33, 18, 14, 2, 4
2021/10/28, 73, 39, 9, 14, 1, 4
2021/10/29, 97, 53, 29, 19, 2, 5
2021/10/30, 120, 54, 32, 19, 2, 6
2021/10/31, 129, 48, 20, 14, 2, 5
2021/11/1, 111, 40, 16, 17, 2, 5
2021/9/2, 76, 34, 34, 18, 2, 6
2021/9/3, 76, 30, 43, 11, 2, 5
2021/9/4, 70, 26, 38, 6, 1, 2
2021/9/5, 50, 23, 40, 6, 1, 2
2021/9/6, 46, 24, 44, 10, 1, 3
2021/9/7, 45, 38, 52, 18, 2, 4
2021/9/8, 73, 48, 51, 17, 3, 5
2021/9/9, 88, 41, 69, 16, 2, 5
2021/9/10, 90, 43, 57, 17, 2, 5
2021/9/11, 86, 52, 52, 28, 2, 7
2021/9/12, 111, 57, 75, 18, 2, 6
2021/9/13, 127, 31, 32, 11, 1, 5
2021/9/14, 76, 25, 26, 11, 1, 5
2021/9/15, 68, 26, 31, 9, 1, 4
2021/9/16, 71, 12, 34, 8, 1, 4
2021/9/17, 32, 32, 33, 18, 2, 7
2021/9/18, 67, 18, 24, 11, 1, 5
2021/9/19, 42, 15, 50, 12, 2, 5
2021/9/20, 34, 35, 65, 18, 2, 6
2021/9/21, 69, 41, 85, 16, 2, 6
