date, pm25, pm10, o3, no2, so2, co
2021/11/2, 114, 64, 18, 17, 6, 10
2021/11/3, 159, 61, 19, 18, 5, 10
2021/11/4, 146, 77, 22, 25, 6, 10
2021/11/5, 168, 90, 32, 23, 6, 11
2021/11/6, 178, 27, 32, 6, 6, 4
2021/11/7, 43, 32, 18, 10, 16, 4
2021/11/8, 58, 30, 17, 6, 4, 4
2021/11/9, 64, 35, 20, 15, 5, 5
2021/11/10, 105, 36, 21, 12, 7, 4
2021/11/11, 89, 18, 20, 8, 6, 3
2021/11/12, 49, , , , , 
2021/10/2, 34, 28, 22, 10, 4, 5
2021/10/3, 38, 36, 34, 6, 3, 6
2021/10/4, 40, 27, 31, 13, 3, 6
2021/10/5, 33, 39, 28, 18, 3, 9
2021/10/6, 63, 39, 27, 18, 4, 9
2021/10/7, 63, 47, 26, 19, 4, 6
2021/10/8, 85, 43, 26, 17, 5, 7
2021/10/9, 65, 33, 25, 11, 6, 6
2021/10/10, 48, 40, 28, 6, 6, 4
2021/10/11, 39, 26, 28, 13, 5, 4
2021/10/12, 36, 45, 28, 21, 6, 8
2021/10/13, 71, 43, 29, 19, 6, 6
2021/10/14, 62, 33, 33, 10, 4, 3
2021/10/15, 50, 44, 44, 12, 4, 4
2021/10/16, 46, 26, 24, 9, 5, 3
2021/10/17, 39, 29, 17, 11, 5, 4
2021/10/18, 50, 45, 22, 14, 7, 4
2021/10/19, 71, 40, 20, 16, 5, 5
2021/10/20, 66, 40, 23, 14, 6, 4
2021/10/21, 64, 52, 24, 20, 5, 6
2021/10/22, 83, 45, 27, 19, 8, 5
2021/10/23, 82, 39, 27, 14, 8, 3
2021/10/24, 63, 56, 28, 18, 7, 5
2021/10/25, 104, 67, 42, 16, 8, 8
2021/10/26, 154, 66, 39, 18, 7, 7
2021/10/27, 137, 34, 21, 13, 8, 4
2021/10/28, 58, 30, 19, 18, 8, 5
2021/10/29, 63, 38, 23, 16, 7, 4
2021/10/30, 64, 62, 25, 21, 13, 7
2021/10/31, 124, 45, 13, 12, 10, 7
2021/11/1, 112, 45, 17, 17, 6, 8
2021/9/2, 57, 33, 41, 15, 4, 4
2021/9/3, 51, 54, 40, 19, 4, 6
2021/9/4, 63, 43, 39, 17, 4, 5
2021/9/5, 51, 46, 39, 19, 5, 5
2021/9/6, 60, 40, 34, 14, 5, 5
2021/9/7, 58, 17, 35, 8, 1, 5
2021/9/8, 32, 26, 38, 14, 2, 5
2021/9/9, 44, 18, 39, 7, 2, 5
2021/9/10, 43, 19, 28, 8, 2, 4
2021/9/11, 33, 16, 28, 11, 2, 5
2021/9/12, 26, 19, 27, 9, 3, 4
2021/9/13, 36, 31, 21, 15, 4, 7
2021/9/14, 49, 33, 26, 15, 3, 6
2021/9/15, 56, 48, 25, 20, 4, 8
2021/9/16, 64, 24, 23, 13, 3, 6
2021/9/17, 41, 27, 31, 14, 4, 6
2021/9/18, 39, 28, 32, 13, 4, 4
2021/9/19, 40, 33, 22, 12, 3, 5
2021/9/20, 45, 34, 14, 14, 4, 7
2021/9/21, 51, 12, 11, 7, 4, 8
2021/9/22, 32, 14, 15, 7, 4, 6
2021/9/23, 29, 23, 22, 9, 4, 3
2021/9/24, 30, 51, 20, 19, 5, 7
2021/9/25, 69, 49, 16, 17, 5, 7
2021/9/26, 68, 36, 18, 13, 4, 7
2021/9/27, 69, 24, 22, 11, 4, 6
2021/9/28, 43, 29, 40, 9, 4, 6
2021/9/29, 51, 17, 37, 8, 5, 4
2021/9/30, 28, 31, 25, 16, 4, 6
2021/10/1, 41, 20, 25, 9, 5, 5
2021/8/2, 26, 15, 19, 4, 4, 4
2021/8/3, 18, 13, 29, 4, 4, 3
2021/8/4, 16, 26, 37, 5, 4, 5
2021/8/5, 47, 37, 41, 5, 6, 7
2021/8/6, 61, 21, 55, 5, 6, 4
2021/8/7, 43, 45, 42, 11, 4, 8
2021/8/8, 82, 53, 43, 13, 5, 9
2021/8/9, 86, 24, 28, 4, 5, 5
2021/8/10, 14, 14, 24, 4, 6, 4
2021/8/11, 17, 18, 24, 6, 6, 5
2021/8/12, 29, 12, 24, 6, 6, 5
2021/8/13, 26, 11, 22, 6, 7, 5
2021/8/14, 23, 25, 37, 12, 7, 6
2021/8/15, 34, 37, 41, 13, 7, 5
2021/8/16, 53, 48, 45, 16, 6, 6
2021/8/17, 63, 36, , 12, 4, 4
2021/8/18, 56, 65, 45, 19, 6, 7
2021/8/19, 57, , , , , 
2021/8/21, 44, 22, 38, 10, 4, 3
2021/8/22, 38, 19, 39, 8, 5, 4
2021/8/23, 18, 34, 52, 10, 8, 8
2021/8/24, 59, 32, 42, 9, 7, 4
2021/8/25, 51, 20, 37, 7, 9, 3
2021/8/26, 29, 22, 41, 7, 8, 4
2021/8/27, 37, 18, 44, 5, 10, 3
2021/8/28, 33, 13, 26, 4, 26, 4
2021/8/29, 21, 19, 24, 7, 11, 3
2021/8/30, 24, 21, 21, 8, 3, 3
2021/8/31, 23, 46, 34, 16, 4, 5
2021/9/1, 56, 41, 38, 17, 4, 5
2021/7/2, 40, 23, 53, 5, 4, 3
2021/7/3, 43, 35, 54, 8, 5, 4
2021/7/4, 62, 25, 51, 9, 5, 3
2021/7/5, 36, 13, 35, 7, 3, 4
2021/7/6, 23, 28, 56, 10, 3, 5
2021/7/7, 39, 24, 44, 8, 5, 7
2021/7/8, 55, 35, 47, 12, 5, 8
2021/7/9, 62, 25, 50, 9, 3, 6
2021/7/10, 50, 36, 48, 9, 5, 7
2021/7/11, 60, 35, 48, 9, 4, 6
2021/7/12, 59, 57, 63, 10, 4, 7
2021/7/13, 88, 41, 67, 9, 4, 6
2021/7/14, 68, 26, 46, 5, 4, 5
2021/7/15, 52, 24, 39, 6, 5, 3
2021/7/16, 49, 20, 41, 4, 4, 4
2021/7/17, 37, 26, 39, 4, 5, 4
2021/7/18, 37, 33, 51, 11, 5, 5
2021/7/19, 51, 29, 59, 8, 5, 4
2021/7/20, 50, 31, 56, 8, 5, 5
2021/7/21, 54, 30, 46, 8, 5, 5
2021/7/22, 51, 32, 54, 8, 5, 4
2021/7/23, 57, 38, 54, 8, 7, 4
2021/7/24, 61, 40, 68, 6, 6, 6
2021/7/25, 59, 27, 55, 9, 6, 7
2021/7/26, 50, 31, 48, 7, 6, 6
2021/7/27, 55, 36, 54, 6, 6, 5
2021/7/28, 59, 27, 45, 9, 4, 6
2021/7/29, 49, 53, 44, 16, 5, 6
2021/7/30, 64, 61, 49, 18, 4, 6
2021/7/31, 93, 18, 37, 7, 4, 5
2021/8/1, 40, 22, 30, 4, 4, 5
2021/6/2, 54, 18, 50, 10, 6, 5
2021/6/3, 31, 16, 43, 6, 8, 4
2021/6/4, 32, 14, 37, 8, 8, 5
2021/6/5, 32, 14, 36, 9, 5, 5
2021/6/6, 33, 19, 32, 9, 5, 5
2021/6/7, 32, 21, 47, 11, 6, 5
2021/6/8, 38, 32, 75, 16, 7, 6
2021/6/9, 54, 39, 73, 13, 8, 7
2021/6/10, 68, 38, 68, 13, 8, 7
2021/6/11, 76, 30, 39, 19, 8, 7
2021/6/12, 54, 58, 91, 22, 6, 11
2021/6/13, 110, 49, 84, 17, 6, 8
2021/6/14, 75, 29, 89, 9, 5, 7
2021/6/15, 50, 30, 65, 13, 5, 7
2021/6/16, 58, 43, 83, 12, 7, 8
2021/6/17, 71, 23, 60, 8, 8, 5
2021/6/18, 33, 17, 35, 8, 7, 4
2021/6/19, 17, 21, 32, 8, 8, 5
2021/6/20, 35, 17, 30, 10, 7, 5
2021/6/21, 38, 19, 38, 6, 4, 3
2021/6/22, 64, 37, 43, 16, 4, 4
2021/6/23, 47, 49, 59, 17, 5, 5
2021/6/24, 62, 27, 63, 11, 4, 2
2021/6/25, 46, 37, 98, 8, 6, 2
2021/6/26, 71, 40, 82, 7, 6, 4
2021/6/27, 71, 21, 57, 12, 5, 6
2021/6/28, 83, 34, 57, 17, 4, 6
2021/6/29, 71, 47, 60, 19, 4, 7
2021/6/30, 69, 33, 47, 13, 3, 8
2021/7/1, 54, 24, 31, 3, 3, 8
2021/5/2, 78, 51, 55, 20, 6, 6
2021/5/3, 94, 62, 61, 17, 7, 6
2021/5/4, 122, 51, 48, 7, 7, 4
2021/5/5, 75, 28, 33, 7, 7, 4
2021/5/6, 45, 36, 45, 8, 6, 4
2021/5/7, 69, 55, 41, 12, 8, 6
2021/5/8, 96, 16, 36, 6, 11, 5
2021/5/9, 49, 16, 35, 6, 7, 3
2021/5/10, 45, 29, 42, 16, 8, 5
2021/5/11, 48, 32, 50, 12, 9, 4
2021/5/12, 56, 56, 45, 5, 8, 2
2021/5/13, 48, 35, 57, 11, 8, 3
2021/5/14, 56, 46, 66, 13, 11, 6
2021/5/15, 93, 21, 56, 6, 20, 4
2021/5/16, 33, 24, 50, 10, 5, 3
2021/5/17, 43, 29, 58, 9, 5, 3
2021/5/18, 47, 52, 70, 11, 5, 4
2021/5/19, 73, 43, 67, 12, 6, 4
2021/5/20, 62, 66, 97, 10, 6, 8
2021/5/21, 99, 72, 113, 22, 6, 8
2021/5/22, 120, 57, 114, 10, 7, 7
2021/5/23, 110, 70, 80, 6, 6, 6
2021/5/24, 108, 51, 51, 5, 5, 3
2021/5/25, 73, 22, 39, 8, 5, 3
2021/5/26, 41, 26, 38, 10, 5, 2
2021/5/27, 42, 37, 43, 13, 5, 4
2021/5/28, 60, 29, 43, 14, 5, 5
2021/5/29, 51, 30, 42, 14, 6, 4
2021/5/30, 48, 33, 36, 17, 7, 6
2021/5/31, 61, 32, 62, 11, 7, 5
2021/6/1, 60, 23, 50, 8, 6, 6
2021/4/2, 137, 79, 60, 17, 8, 6
2021/4/3, 103, 24, 47, 9, 7, 2
2021/4/4, 31, 48, 47, 16, 10, 4
2021/4/5, 88, 61, 45, 11, 7, 4
2021/4/6, 109, 36, 41, 12, 7, 5
2021/4/7, 55, 25, 40, 8, 7, 3
2021/4/8, 52, 34, 37, 14, 6, 6
2021/4/9, 73, 75, 57, 23, 11, 7
2021/4/10, 181, 138, 93, 24, 13, 10
2021/4/11, 245, 109, 80, 22, 11, 9
2021/4/12, 203, 86, 55, 8, 10, 4
2021/4/13, 77, 20, 54, 10, 7, 5
2021/4/14, 38, 33, 42, 12, 6, 7
2021/4/15, 60, 100, 79, 20, 10, 7
2021/4/16, 184, 62, 61, 8, 7, 3
2021/4/17, 73, 70, 39, 10, 5, 3
2021/4/18, 99, 49, 45, 14, 7, 4
2021/4/19, 114, 64, 60, 13, 8, 4
2021/4/20, 109, 48, 73, 21, 9, 5
2021/4/21, 143, 160, 124, 29, 14, 11
2021/4/22, 262, 87, 108, 15, 12, 5
2021/4/23, 147, 51, 58, 20, 12, 5
2021/4/24, 102, 43, 47, 9, 11, 4
2021/4/25, 64, 54, 46, 13, 8, 4
2021/4/26, 97, 68, 74, 18, 12, 6
2021/4/27, 151, 107, 55, 10, 9, 5
2021/4/28, 139, 45, 37, 6, 8, 3
2021/4/29, 46, 62, 43, 14, 7, 5
2021/4/30, 105, 36, 36, 15, 11, 5
2021/5/1, 95, 33, 39, 16, 9, 5
2021/3/2, 83, 76, 43, 30, 7, 12
