date, pm25, pm10, o3, no2, so2, co
2021/11/2, 86, 40, , 10, 2, 4
2021/11/3, 74, 45, , 11, 2, 4
2021/11/4, 78, 33, , 13, 1, 5
2021/11/5, 63, 36, , 12, 2, 6
2021/11/6, 73, 52, , 24, 1, 6
2021/11/7, 107, 31, , 15, , 4
2021/11/8, 48, 18, , 7, , 4
2021/11/9, 28, 29, , 7, 1, 3
2021/11/10, 49, 34, , 9, 1, 3
2021/11/11, 55, 42, , 13, 2, 3
2021/11/12, 67, , , , , 
2021/10/2, 65, 33, , 5, 1, 5
2021/10/3, 58, 31, , 4, 2, 6
2021/10/4, 50, 35, , 4, 2, 4
2021/10/5, 54, 38, , 3, 2, 4
2021/10/6, 49, 30, , 4, 2, 4
2021/10/7, 52, 15, , 5, 2, 5
2021/10/8, 37, 19, , 7, 1, 5
2021/10/9, 37, 28, , 6, 1, 6
2021/10/10, 51, 25, , 6, 2, 6
2021/10/11, 36, 25, , 6, 2, 6
2021/10/12, 30, 13, , 4, 2, 6
2021/10/13, 20, 15, , 7, 2, 6
2021/10/14, 31, 17, , 7, 2, 5
2021/10/15, 24, 28, , 6, 2, 4
2021/10/16, 37, 28, , 7, 2, 4
2021/10/17, 39, 19, , 5, 2, 5
2021/10/18, 35, 34, , 7, 2, 5
2021/10/19, 49, 43, , 9, 2, 5
2021/10/20, 72, 37, , 9, 2, 6
2021/10/21, 98, 16, , 9, 2, 5
2021/10/22, 33, 18, , 9, 2, 4
2021/10/23, 32, 40, , 9, 2, 3
2021/10/24, 73, 36, , 9, 2, 3
2021/10/25, 66, 31, , 8, 2, 3
2021/10/26, 60, 34, , 8, 2, 4
2021/10/27, 60, 39, , 10, 2, 4
2021/10/28, 73, 45, , 8, 3, 4
2021/10/29, 87, 51, , 9, 3, 5
2021/10/30, 95, 43, , 10, 2, 5
2021/10/31, 82, 57, , 12, 3, 5
2021/11/1, 115, 37, , 10, 2, 5
2021/9/2, 42, 32, , 7, 2, 4
2021/9/3, 46, 54, , 10, 2, 6
2021/9/4, 79, 36, , 7, 1, 5
2021/9/5, 67, 28, , 6, 2, 5
2021/9/6, 51, 21, , 6, 1, 4
2021/9/7, 33, 30, , 6, 1, 5
2021/9/8, 46, 27, , 5, 2, 4
