date, pm25, pm10, o3, no2, so2, co
2021/11/2, 70, 38, 29, 7, 9, 10
2021/11/3, 76, 45, 23, 10, 12, 12
2021/11/4, 96, 40, 17, 11, 8, 14
2021/11/5, 77, 50, 38, 13, 5, 11
2021/11/6, 83, 35, 15, 11, 8, 13
2021/11/7, 65, 25, 12, 6, 6, 12
2021/11/8, 58, 35, 33, 4, 15, 11
2021/11/9, 48, 40, 36, 6, 28, 9
2021/11/10, 60, 46, 36, 13, 15, 8
2021/11/11, 69, 55, 39, 17, 19, 9
2021/11/12, 85, 49, 42, 14, 14, 9
2021/11/13, 76, 45, 41, 11, 17, 9
2021/11/14, 73, 56, 41, 20, 19, 10
2021/11/15, 85, 69, 63, 27, 17, 10
2021/11/16, 108, 53, 24, 16, 13, 9
2021/11/17, 97, 32, 27, 7, 7, 9
2021/11/18, 62, 47, 40, 8, 12, 10
2021/11/19, 90, 57, 29, 14, 11, 11
2021/11/20, 109, 44, 13, 6, 15, 11
2021/11/21, 89, , , , , 
2021/10/2, 91, 47, 61, 9, 7, 11
2021/10/3, 95, 38, 49, 5, 4, 9
2021/10/4, 80, 45, 54, 8, 4, 9
2021/10/5, 81, 42, 46, 8, 8, 9
2021/10/6, 66, 41, 48, 7, 8, 10
2021/10/7, 61, 50, 50, 5, 7, 11
2021/10/8, 86, 52, 41, 5, 9, 13
2021/10/9, 102, 48, 35, 6, 13, 14
2021/10/10, 93, 47, 48, 5, 10, 12
2021/10/11, 86, 41, 27, 6, 8, 14
2021/10/12, 65, 38, 40, 6, 4, 12
2021/10/13, 60, 45, 36, 7, 11, 10
2021/10/14, 71, 36, 23, 7, 8, 11
2021/10/15, 67, 21, 27, 5, 7, 12
2021/10/16, 42, 22, 30, 5, 10, 12
2021/10/17, 47, 35, 21, 5, 8, 8
2021/10/18, 54, 45, 30, 7, 12, 9
2021/10/19, 80, 44, 29, 7, 10, 10
2021/10/20, 84, 38, 20, 6, 8, 9
2021/10/21, 76, 24, 24, 5, 17, 8
2021/10/22, 31, 44, 33, 5, 5, 9
2021/10/23, 64, 53, 30, 9, 5, 9
2021/10/24, 101, 41, 31, 6, 3, 10
2021/10/25, 83, 48, 34, 7, 8, 10
2021/10/26, 89, 51, 45, 11, 14, 11
2021/10/27, 91, 52, 49, 7, 19, 10
2021/10/28, 101, 55, 49, 10, 12, 10
2021/10/29, 116, 53, 36, 13, 9, 9
2021/10/30, 111, 58, 43, 15, 7, 11
2021/10/31, 124, 62, 29, 16, 10, 12
2021/11/1, 137, 30, 29, 7, 6, 11
2021/9/2, 79, 36, 44, 8, 7, 9
2021/9/3, 64, 39, 60, 8, 12, 10
2021/9/4, 73, 38, 55, 9, 18, 11
2021/9/5, 74, 47, 59, 13, 18, 10
2021/9/6, 81, 60, 65, 10, 22, 11
2021/9/7, 90, 52, 31, 7, 8, 10
2021/9/8, 77, 43, 40, 4, 10, 11
2021/9/9, 84, 44, 60, 6, 13, 11
2021/9/10, 93, 45, 50, 8, 14, 11
2021/9/11, 90, 47, 66, 5, 12, 12
2021/9/12, 97, 47, 52, 4, 16, 12
2021/9/13, 94, 37, 48, 4, 14, 10
2021/9/14, 73, 35, 44, 5, 14, 9
2021/9/15, 70, 36, 51, 5, 10, 8
2021/9/16, 79, 41, 62, 5, 10, 9
2021/9/17, 77, 52, 79, 8, 10, 10
2021/9/18, 94, 50, 79, 9, 7, 9
2021/9/19, 98, 40, 44, 7, 6, 9
2021/9/20, 73, 30, 32, 6, 8, 8
2021/9/21, 52, 29, 48, 5, 16, 9
2021/9/22, 62, 33, 58, 5, 9, 8
2021/9/23, 57, 27, 41, 8, 8, 8
2021/9/24, 51, 35, 41, 9, 13, 8
2021/9/25, 63, 39, 52, 10, 9, 8
2021/9/26, 69, 48, 70, 13, 11, 9
2021/9/27, 80, 51, 50, 12, 18, 9
2021/9/28, 91, 51, 84, 16, 14, 10
2021/9/29, 97, 55, 74, 13, 9, 10
2021/9/30, 102, 48, 45, 8, 14, 11
2021/10/1, 97, 45, 64, 11, 7, 11
2021/8/2, 80, 46, 48, 9, 13, 11
2021/8/3, 92, 50, 44, 12, 8, 12
2021/8/4, 95, 30, 29, 6, 7, 10
2021/8/5, 62, 14, 24, 2, 2, 9
2021/8/6, 30, 22, 27, 4, 4, 8
2021/8/7, 52, 30, 38, 6, 6, 8
2021/8/8, 64, 44, 66, 7, 6, 8
2021/8/9, 82, 25, 44, 5, 3, 8
2021/8/10, 50, 25, 31, 4, 4, 7
2021/8/11, 48, 26, 32, 5, 6, 7
2021/8/12, 48, 28, 37, 5, 5, 9
2021/8/13, 54, 26, 40, 5, 5, 9
2021/8/14, 55, 28, 39, 4, 5, 9
2021/8/15, 62, 24, 35, 5, 5, 9
2021/8/16, 48, 29, 38, 7, 8, 9
2021/8/17, 55, 32, 42, 7, 10, 9
2021/8/18, 67, 33, 36, 6, 9, 8
2021/8/19, 68, 36, 40, 7, 7, 9
2021/8/20, 69, 36, 49, 7, 6, 9
2021/8/21, 72, 39, 52, 8, 4, 10
2021/8/22, 76, 37, 48, 5, 4, 10
2021/8/23, 78, 33, 43, 5, 4, 9
2021/8/24, 62, 30, 42, 6, 3, 9
2021/8/25, 54, 30, 43, 6, 4, 9
2021/8/26, 60, 25, 32, 5, 5, 8
2021/8/27, 47, 31, 43, 5, 7, 8
2021/8/28, 56, 31, 55, 6, 7, 8
2021/8/29, 54, 39, 46, 8, 14, 8
2021/8/30, 71, 40, 43, 10, 10, 9
2021/8/31, 71, 48, 46, 7, 12, 9
2021/9/1, 86, 40, 55, 8, 11, 9
2021/7/2, 59, 28, 30, 4, 5, 10
2021/7/3, 55, 35, 38, 5, 7, 11
2021/7/4, 61, 34, 38, 5, 8, 11
2021/7/5, 65, 29, 30, 5, 6, 9
2021/7/6, 56, 39, 52, 7, 14, 11
2021/7/7, 65, 22, 28, 4, 5, 10
2021/7/8, 48, 25, 27, 5, 8, 10
2021/7/9, 40, 33, 44, 7, 8, 9
2021/7/10, 57, 37, 57, 6, 5, 8
2021/7/11, 71, 36, 35, 4, 8, 9
2021/7/12, 62, 30, 34, 4, 7, 8
2021/7/13, 52, 31, 41, 5, 8, 8
2021/7/14, 57, 32, 45, 6, 8, 9
2021/7/15, 64, 43, 79, 8, 11, 8
2021/7/16, 83, 36, 57, 7, 11, 9
2021/7/17, 71, 40, 46, 7, 8, 10
2021/7/18, 76, 32, 44, 6, 10, 10
2021/7/19, 61, 33, 43, 7, 8, 11
2021/7/20, 68, 26, 34, 5, 7, 10
2021/7/21, 56, 26, 33, 6, 7, 10
2021/7/22, 50, 40, 50, 6, 11, 9
2021/7/23, 76, 37, 40, 4, 10, 9
2021/7/24, 74, 28, 37, 3, 8, 8
2021/7/25, 57, 39, 39, 4, 10, 9
2021/7/26, 81, 39, 50, 6, 11, 9
2021/7/27, 77, 33, 42, 5, 5, 10
2021/7/28, 65, 40, 53, 6, 10, 10
2021/7/29, 74, 38, 63, 6, 11, 8
2021/7/30, 75, 34, 55, 5, 7, 13
2021/7/31, 73, 35, 68, 6, 8, 11
2021/8/1, 71, 42, 65, 8, 10, 11
2021/6/2, 66, 24, 28, 5, 13, 8
2021/6/3, 49, 34, 35, 6, 14, 8
2021/6/4, 68, 33, 42, 4, 9, 9
2021/6/5, 67, 48, 59, 12, 12, 9
2021/6/6, 90, 51, 70, 13, 13, 10
2021/6/7, 90, 60, 80, 14, 25, 10
2021/6/8, 116, 46, 48, 9, 14, 9
2021/6/9, 84, 31, 49, 6, 13, 10
2021/6/10, 49, 23, 40, 4, 10, 10
2021/6/11, 54, 33, 35, 6, 13, 10
2021/6/12, 63, 32, 28, 7, 10, 10
2021/6/13, 59, 26, 26, 7, 13, 11
2021/6/14, 53, 23, 27, 4, 12, 10
2021/6/15, 46, 24, 33, 5, 10, 12
2021/6/16, 52, 30, 39, 6, 8, 10
2021/6/17, 61, 28, 40, 7, 9, 10
2021/6/18, 57, 35, 43, 6, 9, 12
2021/6/19, 65, 38, 47, 6, 9, 12
2021/6/20, 72, 40, 51, 6, 7, 14
2021/6/21, 77, 28, 38, 4, 7, 10
2021/6/22, 61, 41, 38, 5, 7, 16
2021/6/23, 89, 40, 44, 6, 13, 13
2021/6/24, 89, 21, 34, 7, 6, 12
2021/6/25, 48, 22, 38, 5, 5, 10
2021/6/26, 43, 26, 40, 4, 6, 10
2021/6/27, 53, 31, 39, 4, 7, 9
2021/6/28, 62, 32, 35, 5, 7, 12
2021/6/29, 64, 32, 25, 8, 6, 12
2021/6/30, 60, 28, 28, 5, 7, 11
2021/7/1, 53, 31, 29, 4, 7, 10
2021/5/2, 107, 63, 94, 21, 10, 10
2021/5/3, 102, 37, 59, 6, 8, 9
2021/5/4, 70, 33, 33, 7, 8, 10
2021/5/5, 65, 52, 56, 5, 8, 10
2021/5/6, 82, 61, 51, 14, 10, 11
2021/5/7, 112, 53, 47, 10, 10, 11
2021/5/8, 107, 28, 34, 7, 9, 9
2021/5/9, 46, 41, 44, 12, 9, 10
2021/5/10, 76, 42, 41, 8, 6, 10
2021/5/11, 74, 40, 39, 8, 6, 10
2021/5/12, 69, 45, 37, 9, 8, 11
2021/5/13, 71, 35, 37, 9, 9, 10
2021/5/14, 64, 32, 34, 6, 5, 11
2021/5/15, 61, 34, 36, 6, 5, 11
2021/5/16, 61, 38, 38, 7, 6, 11
2021/5/17, 63, 23, 27, 5, 6, 12
2021/5/18, 46, 17, 24, 5, 5, 12
2021/5/19, 34, 30, 36, 7, 6, 13
2021/5/20, 56, 19, 19, 5, 4, 13
2021/5/21, 32, 31, 20, 5, 8, 12
2021/5/22, 59, 34, 47, 7, 5, 9
2021/5/23, 66, 29, 41, 6, 1, 8
2021/5/24, 55, 16, 42, 3, 2, 8
2021/5/25, 36, 43, 55, 8, 11, 9
2021/5/26, 87, 44, 40, 11, 13, 10
2021/5/27, 90, 28, 31, 6, 8, 9
2021/5/28, 52, 34, 41, 4, 8, 9
2021/5/29, 65, 37, 28, 5, 9, 9
2021/5/30, 72, 31, 23, 6, 7, 8
2021/5/31, 52, 28, 32, 8, 7, 8
2021/6/1, 59, 29, 22, 8, 8, 9
2021/4/2, 79, 61, 38, 9, 6, 13
2021/4/3, 124, 35, 15, 9, 4, 14
2021/4/4, 80, 23, 28, 5, 2, 11
2021/4/5, 57, 46, 27, 7, 5, 12
2021/4/6, 97, 48, 31, 6, 3, 11
2021/4/7, 106, 53, 43, 9, 5, 13
2021/4/8, 112, 33, 40, 5, 3, 13
2021/4/9, 66, 38, 36, 6, 4, 11
2021/4/10, 82, 36, 30, 10, 4, 11
2021/4/11, 84, 46, 54, 14, 5, 10
2021/4/12, 96, 50, 46, 9, 4, 9
2021/4/13, 105, 22, 34, 4, 1, 9
2021/4/14, 56, 33, 31, 5, 2, 9
2021/4/15, 75, 21, 26, 8, 3, 10
2021/4/16, 55, 31, 21, 8, 3, 10
2021/4/17, 71, 52, 44, 9, 5, 10
2021/4/18, 113, 77, 38, 9, 12, 10
2021/4/19, 126, 36, 32, 10, 3, 10
2021/4/20, 83, 37, 51, 10, 3, 9
2021/4/21, 78, 57, 66, 15, 5, 10
2021/4/22, 92, 56, 57, 11, 8, 9
2021/4/23, 105, 45, 44, 5, 9, 11
2021/4/24, 94, 51, 53, 7, 8, 11
2021/4/25, 107, 26, 38, 4, 6, 12
2021/4/26, 61, 29, 32, 6, 7, 10
2021/4/27, 69, 20, 22, 6, 6, 10
2021/4/28, 46, 33, 29, 6, 6, 10
2021/4/29, 60, 57, 62, 12, 8, 10
2021/4/30, 109, 62, 62, 18, 9, 10
2021/5/1, 97, 63, 100, 21, 15, 10
2021/3/2, 91, 21, 28, 5, 2, 9
2021/3/3, 44, 33, 23, 7, 17, 8
2021/3/4, 69, 26, 13, 7, 1, 9
2021/3/5, 58, 47, 19, 15, 2, 11
2021/3/6, 94, 32, 15, 10, 2, 11
2021/3/7, 75, 27, 20, 6, 1, 7
2021/3/8, 66, 39, 17, 7, 3, 9
2021/3/9, 83, 38, 10, 8, 2, 10
2021/3/10, 82, 32, 13, 9, 2, 9
2021/3/11, 62, 42, 20, 14, 11, 10
2021/3/12, 85, 31, 25, 6, 12, 9
2021/3/13, 73, 44, 26, 8, 3, 9
2021/3/14, 93, 49, 57, 13, 3, 10
2021/3/15, 100, 68, 48, 17, 4, 10
2021/3/16, 129, 56, 57, 11, 1, 7
2021/3/17, 114, 69, 74, 15, 3, 10
2021/3/18, 136, 61, 57, 9, 6, 11
2021/3/19, 128, 60, 47, 11, 5, 11
2021/3/20, 123, 38, 11, 8, 4, 11
2021/3/21, 86, 38, 30, 7, 5, 10
2021/3/22, 85, 84, 37, 7, 6, 9
2021/3/23, 123, 83, 34, 15, 7, 10
2021/3/24, 129, 73, 42, 17, 7, 11
2021/3/25, 127, 77, 50, 19, 6, 11
2021/3/26, 114, 78, 73, 19, 11, 11
2021/3/27, 123, 57, 52, 10, 9, 11
2021/3/28, 102, 64, 63, 9, 6, 13
2021/3/29, 141, 65, 49, 11, 5, 13
2021/3/30, 131, 55, 36, 10, 6, 12
2021/3/31, 102, 40, 27, 8, 6, 12
2021/4/1, 83, 42, 28, 12, 8, 12
2021/2/2, 114, 55, 31, 9, 2, 11
2021/2/3, 125, 53, 45, 15, 2, 11
2021/2/4, 108, 52, 31, 9, 3, 12
2021/2/5, 114, 50, 53, 7, 2, 12
2021/2/6, 116, 54, 38, 5, 5, 13
2021/2/7, 124, 54, 50, 10, 2, 14
2021/2/8, 116, 42, 39, 5, 1, 11
2021/2/9, 100, 21, 19, 4, 1, 8
2021/2/10, 54, 13, 14, 6, 2, 12
2021/2/11, 35, 17, 24, 4, , 11
2021/2/12, 41, 28, 26, 4, 1, 9
2021/2/13, 70, 30, 26, 5, , 9
2021/2/14, 72, 39, 30, 7, 1, 9
2021/2/15, 86, 39, 36, 7, 1, 9
2021/2/16, 79, 41, 25, 6, 1, 10
2021/2/17, 90, 36, 40, 3, 1, 9
2021/2/18, 82, , , , , 
2021/1/5, 111, 62, 38, 18, 11, 9
2021/1/6, 128, 76, 20, 17, 9, 10
2021/1/7, 157, 51, 24, 12, 5, 8
2021/1/8, 101, 56, 27, 9, 4, 8
2021/1/9, 92, 43, 31, 10, 7, 8
2021/1/10, 71, 49, 29, 10, 7, 7
2021/1/11, 86, 61, 28, 18, 10, 9
2021/1/12, 114, 76, 35, 24, 10, 11
2021/1/13, 126, 84, 41, 29, 8, 11
2021/1/14, 131, 84, 88, 38, 10, 12
2021/1/15, 132, 95, 65, 44, 10, 12
2021/1/16, 154, 80, 31, 17, 5, 11
2021/1/17, 135, 84, 36, 10, 3, 8
2021/1/18, 120, 64, 42, 11, 4, 8
2021/1/19, 91, 84, 70, 34, 16, 11
2021/1/20, 138, 90, 68, 42, 10, 12
2021/1/21, 150, 80, 52, 27, 14, 11
2021/1/22, 140, 52, 32, 9, 4, 10
2021/1/23, 112, 65, 45, 9, 3, 11
2021/1/24, 143, 71, 64, 21, 4, 12
2021/1/25, 146, 65, 47, 11, 8, 12
2021/1/26, 147, 41, 25, 10, 3, 12
2021/1/27, 91, 33, 46, 6, 2, 8
2021/1/28, 75, 33, 40, 5, 1, 7
2021/1/29, 77, 39, 48, 5, 1, 5
2021/1/30, 69, 49, 69, 8, 2, 5
2021/1/31, 82, 71, 82, 21, 5, 10
2021/2/1, 130, 56, 45, 8, 3, 6
2020/10/2, 89, 48, 46, 7, 12, 9
2020/10/3, 103, 45, 46, 9, 13, 9
2020/10/4, 89, 49, 49, 9, 12, 10
2020/10/5, 97, 27, 30, 4, 7, 9
2020/10/6, 67, 35, 33, 6, 7, 8
2020/10/7, 86, 36, 45, 20, 7, 9
2020/10/8, 82, 44, 31, 6, 7, 9
2020/10/9, 101, 49, 62, 6, 10, 8
2020/10/10, 98, 51, 76, 6, 7, 7
2020/10/11, 102, 56, 86, 8, 9, 8
2020/10/12, 113, 60, 95, 7, 12, 8
2020/10/13, 119, 62, 76, 7, 18, 8
2020/10/14, 137, 63, 133, 9, 20, 8
2020/10/15, 144, 52, 34, 5, 5, 8
2020/10/16, 116, 24, 24, 5, 4, 6
2020/10/17, 61, 32, 23, 7, 10, 6
2020/10/18, 62, 35, 67, 8, 8, 7
2020/10/19, 78, 38, 27, 7, 7, 7
2020/10/20, 89, 52, 38, 7, 7, 8
2020/10/21, 110, 55, 44, 6, 10, 8
2020/10/22, 120, 49, 55, 7, 10, 8
2020/10/23, 98, 66, 58, 8, 12, 8
2020/10/24, 96, 66, 66, 9, 17, 7
2020/10/25, 91, 71, 67, 15, 14, 8
2020/10/26, 109, 68, 73, 13, 13, 9
2020/10/27, 121, 61, 65, 9, 21, 9
2020/10/28, 122, 66, 84, 9, 21, 9
2020/10/29, 139, 61, 46, 9, 11, 7
2020/10/30, 132, 58, 47, 8, 11, 7
2020/10/31, 128, 60, 57, 8, 15, 7
2020/11/1, 123, 63, 68, 9, 12, 8
2020/11/2, 135, 53, 38, 7, 10, 8
2020/11/3, 113, 64, 62, 8, 9, 8
2020/11/4, 129, 62, 60, 9, 13, 8
2020/11/5, 108, 66, 66, 17, 11, 9
2020/11/6, 117, 64, 73, 15, 12, 8
2020/11/7, 120, 58, 71, 8, 12, 8
2020/11/8, 121, 62, 73, 8, 15, 8
2020/11/9, 113, 66, 72, 9, 14, 8
2020/11/10, 99, 68, 68, 12, 12, 8
2020/11/11, 115, 61, 62, 15, 9, 8
2020/11/12, 105, 63, 60, 16, 10, 10
2020/11/13, 117, 54, 67, 12, 8, 8
2020/11/14, 103, 59, 56, 14, 14, 10
2020/11/15, 110, 64, 53, 15, 11, 10
2020/11/16, 122, 68, 50, 17, 15, 10
2020/11/17, 128, 77, 53, 20, 16, 11
2020/11/18, 143, 44, 30, 9, 10, 10
2020/11/19, 62, 50, 38, 14, 15, 9
2020/11/20, 76, 51, 37, 9, 11, 11
