date, pm25, pm10, o3, no2, so2, co
2021/11/2, 107, 86, 34, 23, 3, 7
2021/11/3, 159, 52, 36, 21, 3, 5
2021/11/4, 94, 52, 24, 24, 2, 6
2021/11/5, 90, 46, 18, 26, 2, 6
2021/11/6, 105, 28, , 19, 2, 4
2021/11/7, 75, 32, 17, 19, 2, 5
2021/11/8, 78, 47, 29, 13, 3, 6
2021/11/9, 67, 55, 34, 21, 3, 6
2021/11/10, 77, 56, 40, 21, 4, 6
2021/11/11, 81, 59, 37, 25, 4, 6
2021/11/12, 93, , , , , 
2021/10/2, 103, 58, 97, 16, 3, 6
2021/10/3, 122, 46, 80, 9, 3, 4
2021/10/4, 84, 43, 48, 11, 3, 4
2021/10/5, 80, 49, 73, 10, 4, 5
2021/10/6, 78, 49, 31, 17, 4, 6
2021/10/7, 79, 50, 41, 13, 3, 6
2021/10/8, 95, 49, 48, 15, 4, 7
2021/10/9, 95, 35, 48, 14, 3, 4
2021/10/10, 63, 47, 24, 16, 4, 6
2021/10/11, 85, 16, 23, 10, 2, 5
2021/10/12, 32, 34, 28, 15, 3, 5
2021/10/13, 51, 26, 24, 18, 3, 7
2021/10/14, 63, 43, 22, 21, 3, 7
2021/10/15, 93, 24, 28, 15, 2, 6
2021/10/16, 51, 16, 28, 12, 3, 4
2021/10/17, 34, 29, 33, 15, 3, 3
2021/10/18, 53, 48, , 26, 3, 5
2021/10/19, 72, 56, , 22, 5, 6
2021/10/20, 98, 32, , 18, 3, 5
2021/10/21, 69, 22, , 13, 3, 6
2021/10/22, 61, 72, , 20, 4, 7
2021/10/23, 140, 59, , 31, 5, 7
2021/10/24, 111, 54, , 31, 6, 5
2021/10/25, 93, 56, , 29, 4, 5
2021/10/26, 89, 67, 23, 31, 4, 6
2021/10/27, 114, 75, 43, 33, 6, 6
2021/10/28, 140, 63, 35, 28, 4, 6
2021/10/29, 116, 64, 43, 34, 5, 6
2021/10/30, 106, 74, 76, 33, 4, 8
2021/10/31, 134, 67, 43, 31, 3, 7
2021/11/1, 124, 61, 52, 24, 3, 5
2021/9/2, 96, 55, 61, 16, 2, 7
2021/9/3, 115, 51, 88, 14, 3, 7
2021/9/4, 106, 42, 89, 14, 2, 7
2021/9/5, 87, 52, 73, 20, 2, 7
2021/9/6, 95, 65, 60, 14, 2, 8
2021/9/7, 116, 29, 41, 8, 1, 6
2021/9/8, 64, 42, 31, 17, 3, 5
2021/9/9, 76, 52, 59, 23, 3, 7
2021/9/10, 102, 43, 47, 18, 2, 7
2021/9/11, 86, 35, 39, 15, 2, 5
2021/9/12, 77, 16, 23, 11, 2, 3
2021/9/13, 31, 10, 23, 6, 2, 3
2021/9/14, 41, 27, 40, 7, 2, 4
2021/9/15, 73, 43, 45, 10, 2, 5
2021/9/16, 74, 37, 30, 14, 2, 5
2021/9/17, 73, 49, 86, 20, 3, 6
2021/9/18, 81, 65, 122, 26, 3, 6
2021/9/19, 115, 64, 109, 21, 3, 6
2021/9/20, 133, 47, 51, 14, 2, 6
2021/9/21, 92, 37, 66, 14, 3, 6
2021/9/22, 64, 47, 73, 17, 3, 6
