date, pm25, pm10, o3, no2, so2, co
2021/11/2, 156, 77, 38, 28, 7, 6
2021/11/3, 156, 84, 60, 32, 7, 7
2021/11/4, 164, 63, 28, 24, 6, 7
2021/11/5, 128, 36, 11, 16, 4, 8
2021/11/6, 86, 41, 31, 12, 7, 6
2021/11/7, 91, 28, 20, 8, 3, 4
2021/11/8, 74, 40, 33, 12, 5, 3
2021/11/9, 63, 46, 33, 22, 6, 4
2021/11/10, 73, 39, 37, 23, 5, 5
2021/11/11, 71, 53, 35, 30, 8, 6
2021/11/12, 94, 60, 40, 29, 8, 7
2021/11/13, 114, 60, 40, 27, 6, 6
2021/11/14, 98, 64, 44, 31, 6, 7
2021/11/15, 102, 64, 42, 33, 7, 7
2021/11/16, 120, 63, 53, 29, 7, 8
2021/11/17, 124, 71, 52, 25, 7, 7
2021/11/18, 156, 78, 42, 28, 6, 8
2021/11/19, 167, 67, 28, 25, 4, 7
2021/11/20, 153, , , , , 
2021/10/2, 78, 47, 71, 23, 6, 7
2021/10/3, 89, 60, 54, 27, 9, 6
2021/10/4, 97, 48, 64, 14, 7, 5
2021/10/5, 88, 58, 71, 19, 9, 6
2021/10/6, 106, 57, 59, 9, 3, 6
2021/10/7, 124, 49, 21, 13, 5, 7
2021/10/8, 101, 34, 23, 11, 4, 6
2021/10/9, 73, 48, 31, 16, 5, 7
2021/10/10, 107, 46, 22, 14, 6, 8
2021/10/11, 91, 19, 29, 5, 3, 3
2021/10/12, 45, 38, 45, 6, 3, 3
2021/10/13, 57, 22, 37, 9, 3, 4
2021/10/14, 77, 48, 19, 17, 4, 8
2021/10/15, 113, 29, 38, 10, 2, 7
2021/10/16, 80, 17, 33, 6, 3, 4
2021/10/17, 47, 32, 32, 7, 4, 4
2021/10/18, 57, 31, 23, 14, 4, 5
2021/10/19, 65, 45, 28, 16, 6, 5
2021/10/20, 89, 35, 31, 9, 3, 5
2021/10/21, 84, 24, 30, 10, 3, 4
2021/10/22, 63, 52, 38, 16, 5, 6
2021/10/23, 127, 63, 55, 19, 5, 7
2021/10/24, 156, 60, 61, 28, 6, 10
2021/10/25, 136, 66, 59, 31, 7, 8
2021/10/26, 140, 66, 53, 33, 6, 7
2021/10/27, 146, 69, 62, 26, 7, 5
2021/10/28, 135, 68, 79, 28, 6, 6
2021/10/29, 151, 71, 61, 26, 7, 5
2021/10/30, 150, 81, 68, 36, 8, 7
2021/10/31, 160, 71, 64, 28, 8, 7
2021/11/1, 148, 77, 39, 26, 9, 9
2021/9/2, 83, 49, 71, 12, 3, 5
2021/9/3, 105, 34, 61, 11, 4, 5
2021/9/4, 76, 59, 54, 14, 5, 7
2021/9/5, 132, 53, 58, 19, 4, 7
2021/9/6, 106, 45, 33, 7, 3, 6
2021/9/7, 93, 29, 38, 8, 3, 4
2021/9/8, 60, 36, 55, 12, 4, 4
2021/9/9, 73, 52, 77, 24, 5, 7
2021/9/10, 89, 56, 88, 25, 5, 7
2021/9/11, 92, 54, 87, 16, 4, 7
2021/9/12, 112, 42, 57, 8, 3, 4
2021/9/13, 79, 30, 36, 10, 3, 3
2021/9/14, 57, 29, 44, 8, 3, 4
2021/9/15, 54, 43, 73, 12, 3, 5
2021/9/16, 85, 55, 74, 16, 5, 9
2021/9/17, 104, 50, 77, 11, 5, 9
2021/9/18, 96, 54, 77, 12, 7, 8
2021/9/19, 104, 61, 80, 19, 6, 7
2021/9/20, 121, 24, 49, 15, 5, 7
2021/9/21, 52, 28, 64, 11, 5, 5
2021/9/22, 58, 46, 72, 23, 6, 5
2021/9/23, 84, 53, 81, 22, 6, 5
2021/9/24, 85, 42, 45, 19, 6, 5
2021/9/25, 78, 44, 68, 15, 6, 5
2021/9/26, 86, 54, 80, 26, 5, 7
2021/9/27, 101, 59, 73, 13, 4, 7
2021/9/28, 116, 59, 89, 14, 6, 8
2021/9/29, 121, 34, 37, 14, 4, 6
2021/9/30, 81, 31, 51, 13, 3, 5
2021/10/1, 74, 42, 63, 21, 5, 6
2021/8/2, 104, 49, 90, 10, 4, 7
2021/8/3, 113, 40, 56, 5, 6, 5
2021/8/4, 100, 24, 41, 1, 3, 2
2021/8/5, 55, 24, 40, 2, 3, 2
2021/8/6, 50, 26, 49, 1, 3, 4
2021/8/7, 52, 24, 45, 1, 3, 3
2021/8/8, 46, 35, 71, 2, 3, 6
2021/8/9, 68, 46, 59, 4, 3, 7
2021/8/10, 124, 36, 43, 8, 3, 5
2021/8/11, 82, 26, 20, 10, 3, 6
2021/8/12, 61, 21, 30, 10, 3, 5
2021/8/13, 54, 15, 42, 6, 3, 5
2021/8/14, 46, 12, 43, 4, 2, 4
2021/8/15, 37, 17, 37, 5, 2, 6
