date, pm25, pm10, o3, no2, so2, co
2021/11/2, 111, 57, , 21, 5, 8
2021/11/3, 105, 79, , 20, 5, 8
2021/11/4, 147, 101, , 18, 5, 8
2021/11/5, 184, 40, , 7, 3, 4
2021/11/6, 95, 29, , 6, 3, 4
2021/11/7, 61, 27, , 8, 3, 4
2021/11/8, 50, 26, , 15, 6, 5
2021/11/9, 52, 45, , 16, 11, 5
2021/11/10, 82, 46, , 18, 11, 6
2021/11/11, 88, 43, , 17, 11, 5
2021/11/12, 79, 61, , 23, 16, 8
2021/11/13, 117, 85, , 21, 7, 8
2021/11/14, 154, 91, , 27, 11, 9
2021/11/15, 161, 95, , 25, 7, 9
2021/11/16, 170, 89, , 21, 5, 9
2021/11/17, 168, 80, , 18, 4, 8
2021/11/18, 165, 95, 48, 17, 5, 8
2021/11/19, 179, 79, 44, 14, 5, 7
2021/11/20, 164, 42, 39, 4, 4, 5
2021/11/21, 97, , , , , 
2021/10/2, 98, 62, , 9, 3, 7
2021/10/3, 123, 54, , 6, 3, 7
2021/10/4, 103, 53, , 8, 3, 7
2021/10/5, 97, 33, , 6, 2, 7
2021/10/6, 51, 32, , 7, 2, 5
2021/10/7, 51, 20, , 8, 2, 8
2021/10/8, 41, 12, , 9, 2, 8
2021/10/9, 43, 26, , 11, 3, 8
2021/10/10, 66, 24, , 9, 3, 8
2021/10/11, 62, 26, , 10, 3, 6
2021/10/12, 28, 25, , 10, 4, 6
2021/10/13, 30, 40, , 14, 3, 7
2021/10/14, 64, 27, , 14, 3, 6
2021/10/15, 59, 41, , 5, 3, 9
2021/10/16, 111, 39, , 4, 3, 6
2021/10/17, 42, 29, , 5, 4, 7
2021/10/18, 35, 39, , 7, 4, 5
2021/10/19, 64, 51, , 9, 5, 7
2021/10/20, 79, 38, , 9, 4, 7
2021/10/21, 56, 71, , 14, 7, 8
2021/10/22, 147, 75, , 12, 5, 8
2021/10/23, 144, 49, , 12, 4, 8
2021/10/24, 78, 58, , 12, 4, 8
2021/10/25, 108, 67, , 15, 6, 6
2021/10/26, 144, 72, , 15, 6, 7
2021/10/27, 152, 73, , 20, 5, 6
2021/10/28, 119, 48, , 18, 4, 4
2021/10/29, 68, 64, , 17, 5, 6
2021/10/30, 122, 81, , 17, 5, 6
2021/10/31, 157, 93, , 18, 5, 6
2021/11/1, 169, 57, , 9, 4, 5
2021/9/2, 27, 20, , 6, 1, 4
2021/9/3, 36, 43, , 10, 2, 5
2021/9/4, 69, 27, , 6, 1, 4
2021/9/5, 32, 20, , 7, 1, 4
2021/9/6, 33, 26, , 11, 2, 5
2021/9/7, 40, 30, , 8, 2, 4
2021/9/8, 42, 47, , 10, 2, 5
