date, pm25, pm10, o3, no2, so2, co
2021/11/2, 103, 47, 25, 24, 3, 5
2021/11/3, 73, 54, 35, 17, 4, 5
2021/11/4, 75, 34, 15, 11, 2, 4
2021/11/5, 49, 24, 18, 12, 3, 4
2021/11/6, 54, 35, 15, 24, 3, 6
2021/11/7, 67, 44, 13, 22, 4, 6
2021/11/8, 86, 64, 9, 26, 5, 8
2021/11/9, 110, 101, 9, 29, 7, 11
2021/11/10, 124, 98, 8, 31, 7, 14
2021/11/11, 149, 92, 13, 32, 8, 14
2021/11/12, 158, , , , , 
2021/10/2, 72, 21, 26, 9, 2, 5
2021/10/3, 46, 12, 24, 8, 2, 5
2021/10/4, 36, 47, 12, 24, 3, 8
2021/10/5, 101, 53, 24, 23, 3, 8
2021/10/6, 101, 35, 29, 16, 2, 6
2021/10/7, 64, 10, 17, 12, 2, 4
2021/10/8, 52, 15, 22, 14, 2, 4
2021/10/9, 46, 36, 24, 23, 3, 9
2021/10/10, 76, 45, 29, 25, 5, 9
2021/10/11, 74, 56, 26, 23, 3, 9
2021/10/12, 85, 45, 24, 22, 3, 8
2021/10/13, 72, 37, 23, 16, 3, 5
2021/10/14, 52, 47, 22, 28, 3, 8
2021/10/15, 80, 58, 22, 30, 3, 9
2021/10/16, 89, 66, 32, 26, 4, 9
2021/10/17, 86, 74, 26, 33, 5, 19
2021/10/18, 106, 80, 34, 34, 5, 15
2021/10/19, 128, 88, 25, 41, 6, 10
2021/10/20, 153, 87, 34, 39, 7, 10
2021/10/21, 145, 96, 25, 39, 7, 11
2021/10/22, 142, 97, 35, 34, 6, 9
2021/10/23, 143, 43, 18, 11, 2, 4
2021/10/24, 57, 28, 25, 21, 3, 7
2021/10/25, 66, 48, 17, 28, 3, 9
2021/10/26, 78, 54, 18, 28, 4, 9
2021/10/27, 86, 85, 17, 35, 4, 11
2021/10/28, 110, 58, 28, 31, 4, 6
2021/10/29, 81, 77, 22, 32, 6, 8
2021/10/30, 117, 79, 23, 30, 6, 7
2021/10/31, 125, 87, 20, 29, 5, 8
2021/11/1, 138, 54, 22, 22, 3, 6
2021/9/2, 71, 21, 37, 11, 2, 7
2021/9/3, 41, 40, 46, 19, 3, 8
2021/9/4, 59, 42, 47, 19, 3, 7
2021/9/5, 49, 51, 59, 22, 3, 7
2021/9/6, 59, 58, 82, 27, 5, 7
2021/9/7, 72, 64, 67, 21, 3, 7
2021/9/8, 71, 66, 50, 22, 2, 5
2021/9/9, 64, 65, 53, 18, 5, 5
2021/9/10, 76, 54, 35, 9, 3, 5
2021/9/11, 61, 28, 42, 9, 3, 6
2021/9/12, 61, 54, 39, 23, 3, 6
2021/9/13, 63, 58, 44, 20, 4, 6
2021/9/14, 60, 58, 43, 21, 4, 6
2021/9/15, 67, 67, 52, 28, 4, 7
2021/9/16, 79, 73, 48, 27, 4, 7
2021/9/17, 72, 51, 42, 22, 3, 6
2021/9/18, 59, 51, 46, 18, 2, 4
2021/9/19, 58, 67, 62, 20, 4, 5
2021/9/20, 65, 68, 37, 21, 5, 7
2021/9/21, 76, 38, 31, 14, 5, 5
2021/9/22, 51, 42, 28, 18, 6, 5
2021/9/23, 49, 61, 27, 26, 5, 6
2021/9/24, 65, 67, 24, 22, 4, 6
2021/9/25, 72, 41, 30, 14, 3, 4
2021/9/26, 55, 65, 28, 27, 4, 7
2021/9/27, 86, 84, 32, 35, 5, 9
2021/9/28, 116, 80, 33, 22, 5, 7
2021/9/29, 82, 95, 29, 27, 4, 7
2021/9/30, 86, 94, 35, 29, 6, 8
2021/10/1, 90, 90, 28, 18, 3, 6
2021/8/2, 38, 43, 59, 20, 2, 6
2021/8/3, 55, 52, 64, 26, 3, 6
2021/8/4, 58, 55, 76, 25, 4, 6
2021/8/5, 69, 41, 50, 10, 2, 5
2021/8/6, 50, 39, 49, 10, 2, 5
2021/8/7, 50, 53, 60, 21, 3, 6
2021/8/8, 69, 59, 57, 23, 3, 6
2021/8/9, 71, 45, 64, 13, 2, 4
2021/8/10, 56, , , , , 
2021/8/21, 72, 52, 43, 22, 4, 6
2021/8/22, 74, 39, 39, 15, 3, 5
2021/8/23, 52, 49, 47, 22, 3, 4
2021/8/24, 58, 63, 54, 26, 5, 6
2021/8/25, 73, 52, 52, 21, 3, 4
2021/8/26, 58, 59, 40, 24, 3, 5
2021/8/27, 61, 52, 48, 18, 2, 4
2021/8/28, 50, 48, 51, 13, 2, 5
2021/8/29, 59, 56, 50, 21, 3, 6
2021/8/30, 67, 43, 46, 18, 2, 7
2021/8/31, 61, 42, 59, 16, 2, 5
2021/9/1, 51, 64, 44, 19, 3, 7
2021/7/2, 40, 35, 49, 15, 2, 5
2021/7/3, 43, 35, 49, 16, 2, 5
2021/7/4, 47, 45, 58, 18, 3, 6
2021/7/5, 47, 54, 65, 18, 3, 5
2021/7/6, 61, 59, 62, 15, 2, 5
2021/7/7, 68, 51, 50, 14, 2, 5
2021/7/8, 62, 37, 43, 17, 2, 7
2021/7/9, 48, 37, 47, 15, 2, 5
2021/7/10, 50, 83, 87, 11, 3, 6
2021/7/11, 77, 33, 52, 8, 2, 5
2021/7/12, 48, 34, 45, 6, 2, 6
2021/7/13, 52, 48, 49, 17, 3, 6
2021/7/14, 57, 44, 40, 15, 2, 6
2021/7/15, 59, 35, 64, 17, 3, 7
2021/7/16, 53, 56, 86, 21, 4, 7
2021/7/17, 62, 31, 38, 8, 2, 5
2021/7/18, 44, 35, 48, 12, 4, 7
2021/7/19, 48, 44, 74, 17, 4, 7
2021/7/20, 59, 46, 70, 17, 4, 7
2021/7/21, 59, 49, 66, 19, 3, 6
2021/7/22, 54, 59, 59, 20, 3, 5
2021/7/23, 69, 41, 50, 14, 3, 6
2021/7/24, 53, 44, 59, 18, 3, 5
2021/7/25, 46, 49, 58, 21, 2, 4
2021/7/26, 48, 46, 54, 22, 3, 7
