date, pm25, pm10, o3, no2, so2, co
2021/11/2, 93, 71, 11, 15, 2, 10
2021/11/3, 158, 50, 35, 14, 4, 8
2021/11/4, 95, 58, 24, 23, 4, 8
2021/11/5, 117, 75, 24, 19, 5, 9
2021/11/6, 121, 126, 21, 5, 2, 5
2021/11/7, 110, 41, 27, 6, 3, 8
2021/11/8, 81, 47, 24, 19, 5, 10
2021/11/9, 95, 52, 30, 21, 11, 12
2021/11/10, 102, 60, 27, 24, 12, 13
2021/11/11, 116, 79, 31, 25, 13, 13
2021/11/12, 139, , , , , 
2021/10/2, 70, 57, 42, 18, 6, 6
2021/10/3, 74, 70, 31, 16, 15, 9
2021/10/4, 96, 22, 27, 8, 4, 6
2021/10/5, 40, 23, 18, 9, 4, 7
2021/10/6, 49, 31, 19, 11, 2, 8
2021/10/7, 74, 37, 55, 11, 4, 8
2021/10/8, 82, 41, 19, 19, 4, 10
2021/10/9, 83, 69, 22, 10, 3, 7
2021/10/10, 91, 34, 30, 14, 4, 8
2021/10/11, 61, 34, 40, 14, 8, 9
2021/10/12, 64, 19, 17, 11, 2, 9
2021/10/13, 44, 51, 8, 21, 4, 8
2021/10/14, 89, 52, 30, 21, 6, 7
2021/10/15, 86, 41, 34, 16, 7, 8
2021/10/16, 70, 32, 27, 10, 5, 7
2021/10/17, 54, 45, 34, 13, 7, 10
2021/10/18, 80, 49, 41, 14, 5, 8
2021/10/19, 96, 37, 19, 15, 4, 8
2021/10/20, 66, 47, 31, 16, 5, 8
2021/10/21, 103, 39, 29, 21, 4, 6
2021/10/22, 85, 50, 31, 20, 9, 9
2021/10/23, 94, 40, 35, 16, 5, 6
2021/10/24, 90, 57, 44, 18, 4, 6
2021/10/25, 129, 69, 33, 27, 6, 8
2021/10/26, 143, 50, 31, 15, 8, 7
2021/10/27, 86, 44, 32, 14, 5, 6
2021/10/28, 79, 47, 37, 16, 3, 5
2021/10/29, 93, 51, 36, 15, 3, 6
2021/10/30, 81, 54, 31, 18, 9, 8
2021/10/31, 89, 31, 29, 8, 4, 6
2021/11/1, 71, 43, 17, 16, 7, 11
2021/9/2, 71, 29, 71, 13, 5, 4
2021/9/3, 61, 23, 28, 12, 4, 3
2021/9/4, 53, 33, 55, 9, 5, 2
2021/9/5, 67, 25, 24, 7, 4, 3
2021/9/6, 58, 26, 43, 10, 4, 4
2021/9/7, 66, 25, 46, 12, 6, 4
2021/9/8, 55, 30, 44, 10, 6, 4
2021/9/9, 56, 42, 46, 19, 5, 6
2021/9/10, 65, 46, 55, 26, 7, 7
2021/9/11, 66, 45, 75, 22, 6, 8
2021/9/12, 71, 31, 56, 9, 5, 6
2021/9/13, 57, 33, 60, 8, 5, 5
2021/9/14, 60, 42, 46, 8, 4, 8
2021/9/15, 76, 30, 31, 7, 3, 8
2021/9/16, 82, 39, 42, 9, 2, 4
2021/9/17, 91, 46, 56, 12, 3, 5
2021/9/18, 99, 22, 41, 12, 4, 4
2021/9/19, 57, 30, 34, 13, 3, 3
2021/9/20, 61, 30, 21, 14, 3, 5
2021/9/21, 52, 42, 11, 17, 4, 6
2021/9/22, 63, 44, , 18, 4, 4
2021/9/23, 64, 20, 46, 11, 3, 3
2021/9/24, 47, 26, 42, 12, 6, 4
2021/9/25, 55, 23, 53, 11, 5, 5
2021/9/26, 67, 75, 37, 13, 5, 4
2021/9/27, 88, 54, 42, 16, 4, 5
2021/9/28, 70, 35, 39, 10, 4, 3
2021/9/29, 57, 60, 43, 26, 4, 6
2021/9/30, 77, 59, 50, 24, 5, 5
2021/10/1, 74, 55, 39, 24, 7, 6
2021/8/2, 37, 32, 76, 8, 5, 6
2021/8/3, 48, 36, 47, 7, 6, 6
2021/8/4, 65, 33, 46, 8, 4, 4
2021/8/5, 60, 26, 58, 8, 6, 7
2021/8/6, 39, 42, 52, 10, 8, 10
2021/8/7, 88, 33, 80, 16, 7, 7
2021/8/8, 62, 33, 53, 8, 4, 5
2021/8/9, 61, 36, 66, 8, 7, 5
2021/8/10, 66, , , , , 
2021/8/21, 63, 29, 37, 11, 6, 7
2021/8/22, 44, 44, 45, 11, 4, 5
2021/8/23, 66, 57, 35, 8, 5, 5
2021/8/24, 73, 30, 26, 4, 4, 6
2021/8/25, 42, 30, 38, 10, 7, 7
2021/8/26, 44, 31, 46, 15, 7, 4
2021/8/27, 43, 20, 39, 6, 6, 5
2021/8/28, 35, 23, 55, 7, 7, 5
2021/8/29, 44, 28, 87, 9, 6, 5
2021/8/30, 62, 36, 36, 14, 5, 4
2021/8/31, 72, 28, 63, 10, 4, 3
2021/9/1, 68, 32, 92, 14, 6, 4
2021/7/2, 57, 63, 49, 5, 4, 3
2021/7/3, 81, 38, 64, 13, 9, 6
2021/7/4, 56, 42, 63, 11, 7, 5
2021/7/5, 47, 44, 82, 8, 7, 4
2021/7/6, 61, 27, 90, 8, 9, 6
2021/7/7, 54, 29, 83, 11, 9, 5
2021/7/8, 52, 35, 80, 14, 6, 6
2021/7/9, 65, 34, 69, 18, 5, 5
2021/7/10, 43, 39, 72, 9, 5, 5
2021/7/11, 53, 42, 84, 9, 7, 7
2021/7/12, 62, 32, 81, 9, 4, 4
2021/7/13, 62, 44, 71, 17, 4, 5
2021/7/14, 78, 50, 75, 13, 4, 4
2021/7/15, 67, 58, 67, 7, 3, 4
2021/7/16, 75, 25, 66, 9, 3, 4
