date, pm25, pm10, o3, no2, so2, co
2021/11/2, 178, 125, 21, 29, 6, 9
2021/11/3, 190, 93, 28, 31, 6, 10
2021/11/4, 155, 87, 47, 26, 6, 8
2021/11/5, 186, 99, 37, 23, 7, 6
2021/11/6, 169, 115, 17, 15, 5, 9
2021/11/7, 148, 45, 25, 7, 4, 4
2021/11/8, 70, 47, 27, 10, 5, 5
2021/11/9, 56, 45, 28, 12, 6, 4
2021/11/10, 64, 53, 26, 13, 6, 4
2021/11/11, 64, 56, 25, 17, 7, 4
2021/11/12, 74, , , , , 
2021/10/2, 126, 79, 82, 23, 3, 8
2021/10/3, 128, 62, 65, 15, 3, 6
2021/10/4, 89, 38, 23, 8, 3, 5
2021/10/5, 39, 14, 24, 7, 2, 4
2021/10/6, 12, 11, 19, 10, 2, 6
2021/10/7, 21, 23, 16, 15, 3, 7
2021/10/8, 41, 32, 24, 15, 3, 5
2021/10/9, 62, 51, 14, 16, 3, 8
2021/10/10, 79, 55, 16, 16, 4, 6
2021/10/11, 62, 49, 21, 19, 4, 5
2021/10/12, 77, 43, 37, 18, 4, 5
2021/10/13, 84, 61, 57, 30, 5, 6
2021/10/14, 102, 65, 24, 25, 3, 9
2021/10/15, 127, 48, 15, 20, 4, 7
2021/10/16, 72, 40, 24, 13, 3, 4
2021/10/17, 49, 48, 23, 20, 4, 2
2021/10/18, 73, 60, 29, 25, 6, 4
2021/10/19, 108, 83, 13, 24, 8, 6
2021/10/20, 140, 46, 15, 20, 4, 5
2021/10/21, 113, 56, 36, 23, 5, 7
2021/10/22, 119, 85, 41, 32, 8, 9
2021/10/23, 168, 98, 49, 36, 6, 10
2021/10/24, 171, 83, 56, 31, 6, 6
2021/10/25, 167, 78, 51, 29, 6, 6
2021/10/26, 161, 75, 32, 28, 7, 9
2021/10/27, 155, 86, 38, 32, 7, 9
2021/10/28, 161, 86, 43, 30, 7, 7
2021/10/29, 164, 95, 40, 36, 7, 8
2021/10/30, 166, 77, 36, 29, 7, 8
2021/10/31, 134, 102, 36, 30, 7, 9
2021/11/1, 169, 93, 34, 18, 4, 7
2021/9/2, 63, 40, 76, 14, 3, 7
2021/9/3, 75, 46, 59, 16, 2, 6
2021/9/4, 83, 17, 38, 6, 2, 4
2021/9/5, 45, 31, 52, 8, 2, 6
2021/9/6, 60, 36, 37, 12, 2, 8
2021/9/7, 72, 48, 58, 13, 2, 6
2021/9/8, 79, 47, 60, 15, 3, 5
2021/9/9, 70, 49, 68, 18, 3, 4
2021/9/10, 74, 67, 111, 19, 3, 6
2021/9/11, 108, 65, 85, 18, 3, 6
2021/9/12, 91, 64, 95, 24, 3, 6
2021/9/13, 93, 61, 77, 13, 2, 4
2021/9/14, 93, 74, 71, 6, , 7
2021/9/15, 139, 59, 74, 11, 2, 7
2021/9/16, 102, 68, 69, 23, 3, 8
2021/9/17, 102, 44, 31, 13, 3, 10
2021/9/18, 89, 26, 33, 10, 2, 7
2021/9/19, 70, 10, 31, 9, 2, 6
2021/9/20, 33, 32, 50, 13, 3, 5
2021/9/21, 49, 43, 51, 17, 4, 2
2021/9/22, 56, 64, 83, 21, 5, 7
2021/9/23, 93, 64, 73, 15, 4, 9
2021/9/24, 130, 49, 25, 12, 2, 8
2021/9/25, 101, 13, 33, 7, 2, 4
2021/9/26, 33, 21, 24, 11, 2, 7
2021/9/27, 30, 40, 25, 18, 3, 9
2021/9/28, 76, 20, 28, 13, 2, 5
2021/9/29, 43, 33, 51, 18, 3, 5
2021/9/30, 54, 50, 57, 22, 4, 5
2021/10/1, 65, 77, 77, 22, 3, 9
2021/8/2, 79, 31, 64, 17, , 3
2021/8/3, 49, 39, 78, 21, , 4
2021/8/4, 58, 58, 102, 10, , 6
2021/8/5, 95, 49, 43, 13, , 5
2021/8/6, 74, 60, 96, 22, , 5
2021/8/7, 92, 47, 63, 15, , 3
2021/8/8, 77, 48, 69, 12, , 5
2021/8/9, 80, 40, 70, 7, , 5
2021/8/10, 74, , , , , 
2021/8/21, 56, 39, 70, 7, , 8
2021/8/22, 68, 31, 45, 4, 1, 6
2021/8/23, 64, 31, 53, 8, 1, 5
2021/8/24, 61, 58, 50, 14, 2, 5
2021/8/25, 83, 56, 46, 21, 3, 3
2021/8/26, 60, 56, 24, 20, 4, 5
2021/8/27, 83, 34, 48, 13, 2, 4
2021/8/28, 54, 35, 29, 10, 1, 4
2021/8/29, 67, 9, 28, 7, 1, 4
2021/8/30, 30, 14, 30, 7, 1, 6
2021/8/31, 36, 15, 41, 8, 1, 7
2021/9/1, 33, 24, 41, 11, 2, 7
2021/7/2, 56, 34, 55, 7, 1, 4
2021/7/3, 63, 35, 87, 5, 1, 5
2021/7/4, 67, 42, 92, 7, 1, 4
2021/7/5, 101, 24, 57, 5, 1, 3
2021/7/6, 40, 32, 63, 7, 1, 4
2021/7/7, 51, 33, 69, 7, 1, 4
2021/7/8, 50, 46, 97, 8, 1, 3
2021/7/9, 59, 46, 111, 9, 2, 3
2021/7/10, 60, 46, 49, 6, , 3
2021/7/11, 68, 34, 24, 7, , 4
2021/7/12, 59, 32, 45, 5, , 3
2021/7/13, 59, 41, 66, 7, , 3
2021/7/14, 63, 48, 66, 6, , 3
2021/7/15, 70, 22, 65, 6, , 3
2021/7/16, 36, 40, 44, 8, , 5
2021/7/17, 67, 30, 35, 6, , 4
2021/7/18, 62, 25, 24, 7, , 4
2021/7/19, 49, 32, 30, 7, , 4
2021/7/20, 63, 15, 30, 4, 1, 4
2021/7/21, 43, , , , , 
2021/7/25, 65, 55, 78, 16, , 2
2021/7/26, 93, 55, 98, 19, , 1
2021/7/27, 90, 55, 70, 20, , 3
2021/7/28, 84, 32, 36, 7, 1, 4
2021/7/29, 78, 26, 42, 10, , 4
2021/7/30, 51, 43, 86, 11, , 5
2021/7/31, 54, 65, 95, 13, , 7
2021/8/1, 109, 56, 80, 13, , 6
2021/6/2, 108, 80, 115, 22, 3, 8
2021/6/3, 120, 62, 45, 16, 4, 6
2021/6/4, 70, 55, 65, 21, 5, 4
2021/6/5, 59, 57, 97, 15, 4, 5
2021/6/6, 58, 84, 140, 15, 6, 6
2021/6/7, 111, 83, 96, 9, 4, 6
2021/6/8, 99, 71, 110, 10, 4, 9
2021/6/9, 103, 102, 90, 13, 4, 11
2021/6/10, 138, 70, 106, 9, 2, 11
2021/6/11, 116, 63, 121, 10, 3, 8
2021/6/12, 93, 68, 75, 12, 2, 6
2021/6/13, 103, 36, 23, 8, 2, 7
2021/6/14, 70, 45, 35, 12, 1, 7
2021/6/15, 88, 46, 55, 9, 1, 10
2021/6/16, 88, 55, 36, 11, 1, 6
2021/6/17, 104, 31, 31, 12, 1, 6
2021/6/18, 45, 31, 55, 11, 2, 4
2021/6/19, 41, 57, 95, 18, 4, 6
2021/6/20, 78, 55, 109, 11, 3, 5
2021/6/21, 73, 65, 133, 18, 5, 6
2021/6/22, 93, 50, 117, 13, 3, 4
2021/6/23, 71, 59, 109, 18, 4, 4
2021/6/24, 87, 55, 107, 13, 5, 4
2021/6/25, 76, 54, 50, 20, 4, 6
2021/6/26, 93, 44, 89, 7, 3, 5
2021/6/27, 77, 39, 75, 5, 1, 5
2021/6/28, 74, 47, 108, 6, 1, 5
2021/6/29, 75, 39, 97, 10, 1, 6
2021/6/30, 70, 52, 102, 8, 1, 4
2021/7/1, 84, 36, 63, 5, 1, 3
2021/5/2, 96, 63, 41, 11, 5, 3
2021/5/3, 77, 64, 23, 22, 4, 5
2021/5/4, 104, 101, 48, 15, 4, 5
2021/5/5, 92, 77, 60, 17, 5, 3
2021/5/6, 92, 103, 52, 14, 5, 4
2021/5/7, 123, 207, 46, 13, 4, 3
2021/5/8, 166, 123, 66, 23, 4, 5
2021/5/9, 154, 115, 89, 14, 6, 7
2021/5/10, 149, 118, 75, 12, 5, 7
2021/5/11, 105, 65, 59, 10, 4, 5
2021/5/12, 83, 80, 79, 16, 5, 9
2021/5/13, 136, 62, 52, 9, 3, 8
2021/5/14, 108, 49, 42, 12, 2, 9
2021/5/15, 87, 45, 40, 8, 2, 8
2021/5/16, 88, 22, 33, 9, 2, 5
2021/5/17, 25, 48, 56, 13, 4, 5
2021/5/18, 75, 64, 96, 17, 5, 5
2021/5/19, 96, 67, 64, 15, 4, 5
2021/5/20, 98, 65, 76, 14, 4, 5
2021/5/21, 94, 59, 77, 12, 3, 5
2021/5/22, 81, 62, 64, 15, 4, 5
2021/5/23, 82, 76, 49, 11, 4, 5
2021/5/24, 81, 84, 56, 18, 4, 3
2021/5/25, 116, 100, 52, 12, 4, 3
2021/5/26, 113, 78, 61, 14, 5, 4
2021/5/27, 88, 104, 62, 23, 5, 4
2021/5/28, 127, 97, 87, 11, 6, 3
2021/5/29, 114, 93, 98, 18, 7, 4
2021/5/30, 117, 73, 108, 10, 5, 6
2021/5/31, 89, 73, 103, 12, 5, 6
2021/6/1, 111, 65, 84, 11, 4, 9
2021/4/2, 129, 79, 14, 20, 3, 8
2021/4/3, 157, 40, 29, 13, 3, 9
2021/4/4, 125, 49, 40, 16, 4, 5
2021/4/5, 73, 72, 41, 29, 7, 6
2021/4/6, 111, 73, 41, 26, 7, 6
2021/4/7, 159, 100, 54, 30, 6, 7
2021/4/8, 160, 98, 82, 29, 7, 7
2021/4/9, 170, 69, 59, 13, 7, 5
