date, pm25, pm10, o3, no2, so2, co
2021/11/2, 118, 55, , 24, 2, 7
2021/11/3, 106, 63, , 20, 3, 8
2021/11/4, 113, 49, , 11, 2, 4
2021/11/5, 83, 40, , 10, 1, 5
2021/11/6, 73, 44, , 11, 2, 5
2021/11/7, 68, 35, , 10, 2, 5
2021/11/8, 58, 30, , 8, 2, 3
2021/11/9, 23, 41, , 13, 3, 2
2021/11/10, 48, 45, , 19, 3, 4
2021/11/11, 61, 64, , 33, 4, 5
2021/11/12, 108, 61, , 27, 4, 4
2021/11/13, 98, 52, , 18, 4, 4
2021/11/14, 81, 60, , 24, 5, 4
2021/11/15, 103, 71, , 29, 3, 6
2021/11/16, 125, 71, , 31, 5, 6
2021/11/17, 130, 65, , 27, 5, 6
2021/11/18, 125, 45, , 18, 3, 5
2021/11/19, 81, 64, , 29, 4, 7
2021/11/20, 119, 59, , 33, 4, 7
2021/11/21, 92, , , , , 
2021/10/2, 106, 38, , 4, 2, 5
2021/10/3, 76, 31, , 4, 1, 3
2021/10/4, 61, 41, , 8, 2, 4
2021/10/5, 65, 41, , 10, 2, 4
2021/10/6, 68, 51, , 9, 2, 4
2021/10/7, 65, 41, , 8, 2, 4
2021/10/8, 66, 10, , 7, 1, 4
2021/10/9, 19, 11, , 4, 1, 3
2021/10/10, 20, 25, , 14, 1, 7
2021/10/11, 48, 45, , 17, 2, 9
2021/10/12, 82, 28, , 9, 2, 4
2021/10/13, 42, 24, , 7, 1, 4
2021/10/14, 76, 36, , 10, 1, 6
2021/10/15, 85, 35, , 17, 1, 8
2021/10/16, 73, 28, , 10, 1, 7
2021/10/17, 48, 26, , 10, 2, 5
2021/10/18, 35, 42, , 14, 3, 4
2021/10/19, 65, 60, , 19, 2, 6
2021/10/20, 113, 38, , 7, 1, 4
2021/10/21, 83, 26, , 11, 1, 5
2021/10/22, 42, 17, , 11, 2, 4
2021/10/23, 22, 38, , 13, 2, 4
2021/10/24, 67, 34, , 11, 2, 5
2021/10/25, 68, 37, , 13, 3, 4
2021/10/26, 65, 53, , 26, 4, 5
2021/10/27, 96, 65, , 27, 4, 7
2021/10/28, 134, 63, , 23, 3, 7
2021/10/29, 136, 69, , 22, 2, 8
2021/10/30, 130, 38, , 17, 2, 6
2021/10/31, 94, 50, , 18, 2, 5
2021/11/1, 84, 63, , 26, 2, 7
2021/9/2, 43, 23, , 7, 1, 4
2021/9/3, 34, 18, , 5, 1, 4
2021/9/4, 20, 18, , 5, 1, 4
2021/9/5, 25, 19, , 6, 1, 3
2021/9/6, 29, 31, , 10, 2, 4
2021/9/7, 48, 35, , 11, 1, 5
2021/9/8, 59, 27, , 7, 1, 3
2021/9/9, 37, 45, , 9, 2, 4
2021/9/10, 73, 33, , 7, 2, 4
2021/9/11, 64, 42, , 9, 2, 5
2021/9/12, 83, 51, , 8, 2, 6
2021/9/13, 95, 42, , 6, 1, 5
2021/9/14, 85, 29, , 8, 1, 4
2021/9/15, 46, 38, , 10, 2, 5
2021/9/16, 61, 34, , 8, 2, 5
2021/9/17, 57, 44, , 14, 2, 5
2021/9/18, 73, 40, , 9, 1, 6
2021/9/19, 80, 18, , 4, 1, 3
2021/9/20, 35, 23, , 6, 1, 4
2021/9/21, 33, 26, , 7, 1, 4
2021/9/22, 43, 21, , 4, 1, 4
2021/9/23, 36, 22, , 7, 1, 3
2021/9/24, 27, 26, , 8, 1, 4
2021/9/25, 39, 35, , 8, 1, 4
2021/9/26, 58, 42, , 9, 2, 4
2021/9/27, 70, 52, , 12, 2, 5
2021/9/28, 115, 53, , 7, 2, 5
2021/9/29, 105, 52, , 7, 2, 6
2021/9/30, 110, 57, , 8, 2, 7
2021/10/1, 126, 53, , 7, 2, 6
2021/8/2, 53, 29, , 7, 1, 6
2021/8/3, 61, 30, , 15, 1, 5
2021/8/4, 56, 38, , 13, 2, 6
2021/8/5, 73, 46, , 8, 2, 7
2021/8/6, 99, 37, , 7, 2, 7
2021/8/7, 75, 37, , 8, 2, 7
2021/8/8, 73, 39, , 9, 2, 6
2021/8/9, 69, 29, , 4, 1, 5
2021/8/10, 55, , , , , 
2021/8/21, 82, 24, , 4, 2, 3
2021/8/22, 40, 28, , 4, 2, 3
2021/8/23, 39, 18, , 3, 2, 3
2021/8/24, 30, 16, , 2, 1, 3
2021/8/25, 25, 16, , 5, 1, 4
2021/8/26, 21, 14, , 3, 1, 3
2021/8/27, 22, 17, , 8, 1, 4
2021/8/28, 21, 27, , 11, 1, 4
2021/8/29, 41, 28, , 9, 1, 4
2021/8/30, 53, 21, , 6, 2, 3
2021/8/31, 37, 35, , 13, 2, 5
2021/9/1, 60, 25, , 12, 1, 5
2021/7/2, 55, 31, , 2, 1, 4
2021/7/3, 53, 30, , 1, 1, 4
2021/7/4, 50, 26, , 2, 1, 4
2021/7/5, 48, 22, , 4, 1, 3
2021/7/6, 35, 25, , 7, 1, 4
2021/7/7, 24, 21, , 4, 1, 3
2021/7/8, 23, 15, , 2, 1, 4
2021/7/9, 29, 27, , 6, 1, 5
2021/7/10, 53, 22, , 3, 1, 4
2021/7/11, 39, 20, , 2, 1, 4
2021/7/12, 36, 19, , 3, 1, 4
2021/7/13, 31, 23, , 4, 1, 4
2021/7/14, 31, 28, , 5, 1, 4
2021/7/15, 40, 22, , 4, 1, 3
2021/7/16, 29, 24, , 5, 2, 5
2021/7/17, 48, 31, , 11, 2, 6
2021/7/18, 67, 23, , 9, 1, 5
2021/7/19, 38, 15, , 7, 1, 4
2021/7/20, 22, 10, , 6, 1, 5
2021/7/21, 17, 15, , 9, 1, 5
2021/7/22, 28, 30, , 9, 1, 5
2021/7/23, 44, 45, , 9, 2, 6
2021/7/24, 99, 50, , 8, 2, 7
2021/7/25, 107, 44, , 7, 2, 6
2021/7/26, 85, 54, , 6, 2, 6
2021/7/27, 84, 52, , 6, 2, 6
2021/7/28, 92, 39, , 6, 2, 6
2021/7/29, 84, 31, , 9, 2, 6
2021/7/30, 58, 23, , 6, 1, 5
2021/7/31, 47, 25, , 5, 1, 5
2021/8/1, 51, 25, , 6, 2, 5
2021/6/2, 41, 23, , 6, 1, 5
2021/6/3, 44, 29, , 5, 1, 5
2021/6/4, 53, 27, , 10, 1, 5
2021/6/5, 57, 39, , 11, 3, 6
2021/6/6, 68, 57, , 11, 4, 8
2021/6/7, 138, 32, , 5, 2, 6
2021/6/8, 78, 30, , 5, 1, 5
2021/6/9, 62, 18, , 5, 1, 4
2021/6/10, 42, 21, , 7, 1, 4
2021/6/11, 40, 23, , 7, 1, 4
2021/6/12, 43, 17, , 5, 1, 3
2021/6/13, 40, 18, , 5, 1, 5
2021/6/14, 34, 20, , 3, 1, 5
2021/6/15, 37, 26, , 3, 1, 4
2021/6/16, 48, 26, , 2, 1, 4
2021/6/17, 53, 28, , 2, 2, 4
2021/6/18, 52, 25, , 2, 1, 3
2021/6/19, 50, 26, , 1, 1, 4
2021/6/20, 55, 29, , 2, 1, 4
2021/6/21, 56, 35, , 3, 1, 4
2021/6/22, 55, 24, , 7, 1, 5
2021/6/23, 45, 19, , 8, 2, 5
2021/6/24, 41, 18, , 9, 1, 5
2021/6/25, 36, 28, , 5, 2, 5
2021/6/26, 52, 30, , 4, 2, 4
2021/6/27, 55, 29, , 2, 1, 3
2021/6/28, 55, 25, , 2, 1, 4
2021/6/29, 48, 30, , 1, 1, 4
2021/6/30, 53, 32, , 1, 1, 4
2021/7/1, 55, 32, , 1, 1, 4
2021/5/2, 88, 32, , 7, 2, 6
2021/5/3, 79, 34, , 9, 1, 6
2021/5/4, 47, 29, , 6, 1, 5
2021/5/5, 52, 39, , 14, 2, 7
2021/5/6, 80, 48, , 7, 1, 5
2021/5/7, 71, 47, , 8, 2, 5
2021/5/8, 73, 34, , 5, 1, 4
2021/5/9, 67, 32, , 5, 2, 5
2021/5/10, 63, 23, , 4, 2, 4
2021/5/11, 37, 24, , 3, 2, 3
2021/5/12, 46, 23, , 3, 1, 4
2021/5/13, 51, 23, , 2, 1, 4
2021/5/14, 53, 25, , 2, 1, 4
2021/5/15, 51, 27, , 3, 2, 4
2021/5/16, 52, 22, , 2, 2, 4
2021/5/17, 54, 26, , 2, 1, 4
2021/5/18, 37, 22, , 2, 2, 4
2021/5/19, 44, 24, , 2, 2, 3
2021/5/20, 49, 23, , 2, 2, 3
2021/5/21, 47, 23, , 2, 3, 3
2021/5/22, 30, 19, , 2, 2, 3
2021/5/23, 38, 20, , 3, 1, 3
2021/5/24, 24, 22, , 8, 1, 4
2021/5/25, 40, 24, , 10, 1, 4
2021/5/26, 39, 25, , 7, 1, 4
2021/5/27, 38, 21, , 4, 2, 3
2021/5/28, 36, 20, , 3, 2, 3
2021/5/29, 34, 19, , 3, 2, 3
2021/5/30, 29, 26, , 2, 2, 4
2021/5/31, 44, 27, , 4, 2, 5
2021/6/1, 45, 15, , 5, 1, 4
2021/4/2, 49, 27, , 6, 1, 4
2021/4/3, 58, 31, , 8, 2, 5
2021/4/4, 63, 48, , 13, 3, 8
2021/4/5, 101, 47, , 16, 2, 7
2021/4/6, 88, 58, , 15, 2, 7
2021/4/7, 105, 40, , 7, 2, 5
2021/4/8, 64, 39, , 15, 1, 4
2021/4/9, 68, 36, , 18, 2, 7
2021/4/10, 69, 45, , 15, 2, 5
2021/4/11, 70, 39, , 11, 2, 4
2021/4/12, 61, 37, , 12, 1, 5
2021/4/13, 66, 37, , 8, 2, 4
2021/4/14, 61, 29, , 6, 1, 4
2021/4/15, 53, 28, , 9, 1, 4
2021/4/16, 55, 32, , 12, 1, 5
2021/4/17, 61, 40, , 21, 2, 9
2021/4/18, 72, 68, , 14, 2, 5
2021/4/19, 81, 75, , 12, 2, 4
2021/4/20, 87, 52, , 13, 2, 4
2021/4/21, 75, 55, , 10, 2, 4
2021/4/22, 85, 54, , 9, 2, 5
2021/4/23, 86, 53, , 10, 2, 5
2021/4/24, 100, 35, , 5, 1, 4
2021/4/25, 61, 36, , 5, 1, 5
2021/4/26, 61, 28, , 9, 2, 4
2021/4/27, 37, 29, , 16, 1, 6
2021/4/28, 56, 34, , 22, 2, 8
2021/4/29, 66, 41, , 18, 2, 7
2021/4/30, 81, 62, , 19, 3, 9
2021/5/1, 118, 42, , 8, 2, 7
2021/3/2, 86, 29, , 13, 2, 8
2021/3/3, 44, 33, , 20, 3, 8
2021/3/4, 58, 64, , 26, 2, 9
2021/3/5, 132, 63, , 20, 2, 9
2021/3/6, 119, 34, , 13, 1, 6
2021/3/7, 65, 37, , 19, 1, 9
2021/3/8, 70, 37, , 18, 1, 7
2021/3/9, 59, 47, , 17, 1, 5
2021/3/10, 79, 46, , 14, 1, 5
2021/3/11, 72, 34, , 11, 1, 6
2021/3/12, 61, 55, , 18, 2, 7
2021/3/13, 111, 50, , 15, 1, 7
2021/3/14, 72, 46, , 10, 1, 6
2021/3/15, 77, 42, , 11, 1, 5
2021/3/16, 69, 45, , 13, 1, 6
2021/3/17, 77, 44, , 12, 1, 5
2021/3/18, 72, 35, , 9, 1, 4
2021/3/19, 72, 32, , 10, 1, 4
2021/3/20, 58, 36, , 10, 1, 4
2021/3/21, 66, 39, , 13, 1, 7
2021/3/22, 57, 55, , 14, 2, 6
2021/3/23, 68, 87, , 24, 3, 5
2021/3/24, 120, 76, , 29, 3, 7
2021/3/25, 153, 73, , 30, 3, 8
2021/3/26, 120, 47, , 9, 1, 4
2021/3/27, 65, 49, , 11, 1, 4
2021/3/28, 82, 43, , 11, 2, 6
2021/3/29, 76, 26, , 6, 1, 5
2021/3/30, 49, 25, , 4, 1, 4
2021/3/31, 49, , , , , 
2021/2/2, 77, 46, , 15, 2, 6
2021/2/3, 101, 45, , 10, 1, 5
2021/2/4, 76, 52, , 12, 1, 5
2021/2/5, 85, 42, , 11, 1, 4
2021/2/6, 75, 43, , 13, 1, 5
2021/2/7, 85, 38, , 13, 1, 5
2021/2/8, 76, 43, , 11, 1, 5
2021/2/9, 91, 44, , 9, 1, 5
2021/2/10, 81, 15, , 5, 1, 6
2021/2/11, 31, 21, , 5, 1, 6
2021/2/12, 45, 47, , 5, 2, 5
2021/2/13, 100, 44, , 7, 2, 5
2021/2/14, 104, 38, , 6, 2, 4
2021/2/15, 93, 39, , 6, 2, 4
2021/2/16, 84, 39, , 7, 1, 5
2021/2/17, 87, 31, , 5, 2, 5
2021/2/18, 68, 35, , 7, 2, 3
2021/2/19, 69, 50, , 8, 2, 4
2021/2/20, 107, 48, , 10, 3, 5
2021/2/21, 97, 39, , 7, 2, 4
2021/2/22, 84, 39, , 9, 2, 5
2021/2/23, 82, 40, , 11, 2, 5
2021/2/24, 90, 36, , 7, 1, 4
2021/2/25, 67, 25, , 8, 1, 4
2021/2/26, 58, 33, , 20, 1, 7
2021/2/27, 91, 33, , 15, 2, 7
2021/2/28, 48, 33, , 13, 2, 6
2021/3/1, 62, 44, , 18, 2, 7
2021/1/5, 138, 73, , 41, 6, 8
2021/1/6, 143, 70, , 32, 5, 7
2021/1/7, 144, 63, , 23, 3, 6
2021/1/8, 140, 50, , 14, 2, 5
2021/1/9, 98, 47, , 20, 3, 3
2021/1/10, 72, 51, , 24, 4, 3
2021/1/11, 94, 44, , 15, 3, 3
2021/1/12, 82, 60, , 24, 3, 6
2021/1/13, 123, 69, , 38, 3, 8
2021/1/14, 145, 80, , 49, 4, 9
2021/1/15, 167, 74, , 43, 2, 9
2021/1/16, 159, 65, , 30, 2, 7
2021/1/17, 127, 80, , 17, 3, 6
2021/1/18, 150, 74, , 23, 4, 5
2021/1/19, 117, 75, , 31, 2, 6
2021/1/20, 134, 74, , 37, 3, 8
2021/1/21, 135, 95, , 58, 4, 11
2021/1/22, 190, 48, , 25, 2, 8
2021/1/23, 108, 61, , 26, 2, 11
2021/1/24, 126, 59, , 21, 1, 8
2021/1/25, 114, 50, , 16, 1, 7
2021/1/26, 96, 64, , 21, 1, 8
2021/1/27, 130, 56, , 18, 2, 8
2021/1/28, 104, 56, , 17, 2, 9
2021/1/29, 117, 42, , 15, 2, 8
2021/1/30, 59, 60, , 15, 1, 6
2021/1/31, 109, 46, , 13, 1, 5
2021/2/1, 66, 40, , 14, 1, 5
2020/10/2, 45, 35, 68, 6, 1, 5
2020/10/3, 70, 35, 54, 8, 2, 5
2020/10/4, 70, 46, 88, 10, 2, 5
2020/10/5, 87, 44, 32, 13, 2, 8
2020/10/6, 93, 37, 47, 13, 3, 8
2020/10/7, 72, 34, 32, 14, 4, 7
2020/10/8, 62, 32, 35, 13, 4, 6
2020/10/9, 61, 43, 51, 14, 3, 6
2020/10/10, 82, 57, 103, 25, 5, 5
2020/10/11, 108, 68, 119, 30, 4, 8
2020/10/12, 143, 60, 89, 21, 4, 6
2020/10/13, 112, 42, 33, 13, 2, 5
2020/10/14, 88, 36, 30, 14, 2, 5
2020/10/15, 71, 43, 65, 11, 2, 4
2020/10/16, 67, 49, 61, 13, 3, 5
2020/10/17, 85, 41, 40, 15, 4, 6
2020/10/18, 69, 41, 61, 13, 5, 6
2020/10/19, 72, 35, 53, 12, 5, 6
2020/10/20, 66, 39, 53, 12, 4, 6
2020/10/21, 78, 40, 54, 11, 3, 6
2020/10/22, 76, 42, 41, 12, 4, 5
2020/10/23, 73, 59, 44, 18, 5, 4
2020/10/24, 82, 65, 63, 19, 6, 4
2020/10/25, 98, 69, 107, 19, 4, 5
2020/10/26, 128, 67, 121, 20, 4, 6
2020/10/27, 132, 63, 107, 18, 3, 6
2020/10/28, 129, 58, 48, 20, 3, 6
2020/10/29, 127, 47, 27, 22, 2, 7
2020/10/30, 125, 52, 36, 23, 3, 8
2020/10/31, 114, 58, 51, 18, 4, 7
2020/11/1, 124, 64, 113, 21, 3, 8
2020/11/2, 128, 63, 65, 19, 3, 8
2020/11/3, 138, 45, 60, 17, 4, 7
2020/11/4, 89, 65, 81, 19, 6, 8
2020/11/5, 141, 65, 101, 16, 3, 6
2020/11/6, 124, 68, 93, 28, 4, 7
2020/11/7, 128, 63, 79, 22, 5, 7
2020/11/8, 120, 62, 81, 18, 6, 6
2020/11/9, 118, 67, 87, 21, 7, 5
2020/11/10, 101, 71, 92, 22, 7, 5
2020/11/11, 125, 70, 76, 32, 6, 5
2020/11/12, 117, 65, 74, 32, 6, 5
2020/11/13, 110, 57, 59, 28, 6, 5
2020/11/14, 103, 52, 37, 20, 5, 4
2020/11/15, 98, 51, 32, 23, 4, 5
2020/11/16, 121, 56, 76, 20, 2, 7
2020/11/17, 109, 40, 27, 14, 2, 5
2020/11/18, 67, 43, 39, 15, 2, 5
2020/11/19, 71, 31, 27, 12, 1, 5
2020/11/20, 56, 32, 62, 12, 1, 4
2020/11/21, 58, 24, 32, 11, 1, 6
2020/11/22, 55, 35, 42, 14, 1, 7
2020/11/23, 58, 56, 5, 26, 3, 10
2020/11/24, 102, 59, 46, 27, 4, 9
2020/11/25, 105, 63, 80, 32, 2, 9
2020/11/26, 111, 58, 82, 24, 2, 7
2020/11/27, 112, 45, 34, 19, 3, 7
2020/11/28, 77, 42, 37, 18, 3, 6
2020/11/29, 64, 38, 38, 16, 3, 6
2020/11/30, 64, 42, 35, 19, 3, 7
2020/12/1, 73, 45, 42, 21, 4, 6
2020/12/2, 84, 46, 41, 21, 3, 6
2020/12/3, 86, 46, 24, 17, 2, 5
2020/12/4, 87, 42, 28, 16, 2, 5
2020/12/5, 82, 50, , 21, 3, 7
2020/12/6, 110, 67, , 33, 5, 8
2020/12/7, 144, 71, , 34, 4, 10
2020/12/8, 156, 59, , 21, 3, 7
2020/12/9, 131, 64, , 31, 6, 7
2020/12/10, 148, 74, , 40, 5, 9
2020/12/11, 151, 77, , 42, 6, 10
2020/12/12, 156, 67, , 28, 4, 9
2020/12/13, 150, 43, , 15, 1, 7
2020/12/14, 93, 41, , 23, 1, 9
2020/12/15, 80, 28, , 17, 2, 7
2020/12/16, 48, 34, , 18, 2, 6
2020/12/17, 67, 41, , 19, 2, 6
2020/12/18, 79, 46, , 20, 2, 6
2020/12/19, 87, 43, , 16, 2, 5
2020/12/20, 89, 49, , 16, 4, 5
2020/12/21, 119, 59, , 22, 4, 5
2020/12/22, 144, 67, , 38, 5, 6
2020/12/23, 151, 79, , 46, 5, 11
2020/12/24, 158, 58, , 29, 2, 7
2020/12/25, 126, 65, , 30, 4, 7
2020/12/26, 132, 40, , 13, 2, 4
2020/12/27, 81, 50, , 22, 2, 7
2020/12/28, 107, 45, , 13, 1, 4
2020/12/29, 102, 32, , 12, 1, 6
2020/12/30, 74, 50, , 11, 2, 6
2020/12/31, 34, 37, , 13, 2, 3
2021/1/1, 61, 44, , 20, 4, 4
2021/1/2, 85, 59, , 31, 4, 7
2021/1/3, 120, 72, , 41, 4, 9
2021/1/4, 146, 73, , 40, 6, 8
2020/7/2, 21, 15, 23, 4, 1, 4
2020/7/3, 29, 17, 14, 5, 1, 4
2020/7/4, 32, 20, , 6, , 5
2020/7/5, 29, 19, , 3, 1, 4
2020/7/6, 34, 18, , 2, 1, 5
2020/7/7, 29, 20, , 3, 1, 4
2020/7/8, 29, 24, , 2, 1, 4
2020/7/9, 33, 30, 26, 2, 1, 4
2020/7/10, 41, 27, 14, 2, 1, 3
2020/7/11, 35, 27, , 2, 1, 4
2020/7/12, 42, 20, 26, 2, 1, 4
2020/7/13, 30, 15, 34, 4, 2, 4
2020/7/14, 29, 27, 63, 6, 2, 4
2020/7/15, 42, 20, 32, 4, 2, 4
2020/7/16, 34, 18, 22, 3, 1, 4
2020/7/17, 31, 18, 20, 3, 1, 4
2020/7/18, 23, 18, 22, 2, 1, 4
2020/7/19, 25, 18, 25, 2, 2, 4
2020/7/20, 29, 19, 25, 3, 1, 4
2020/7/21, 26, 22, 34, 5, 1, 4
2020/7/22, 34, 17, 29, 5, 1, 4
2020/7/23, 30, 21, 37, 6, 1, 4
2020/7/24, 37, 20, 38, 6, 2, 4
2020/7/25, 34, 22, 47, 6, 2, 5
2020/7/26, 39, 22, 33, 4, 2, 4
2020/7/27, 34, 18, 24, 3, 2, 4
2020/7/28, 27, 24, 27, 5, 1, 4
2020/7/29, 28, 21, 50, 6, 1, 4
2020/7/30, 35, 24, 44, 10, 1, 3
2020/7/31, 36, 24, 14, 10, 1, 4
2020/8/1, 44, 14, 18, 9, 1, 4
2020/8/2, 22, 16, 21, 9, 1, 4
2020/8/3, 23, 11, 23, 7, 1, 5
2020/8/4, 26, 15, 23, 6, 1, 5
2020/8/5, 25, 14, 13, 8, 1, 4
2020/8/6, 26, 15, 20, 6, 1, 4
2020/8/7, 33, 21, 16, 6, 1, 4
2020/8/8, 33, 22, 23, 7, 1, 3
2020/8/9, 31, 22, 37, 5, 1, 3
2020/8/10, 34, 23, 29, 4, 1, 4
2020/8/11, 32, 15, 18, 4, 1, 4
2020/8/12, 33, 16, 17, 6, 1, 4
2020/8/13, 28, 18, 16, 5, , 4
2020/8/14, 31, 24, 19, 9, 1, 5
2020/8/15, 45, 25, 18, 7, 1, 4
2020/8/16, 40, 24, 26, 7, 1, 4
2020/8/17, 37, 30, 14, 10, 1, 4
2020/8/18, 59, 31, 29, 14, 1, 5
2020/8/19, 55, 14, 20, 6, 1, 4
2020/8/20, 16, 26, 17, 9, 1, 4
2020/8/21, 49, 45, 67, 12, 1, 4
2020/8/22, 87, 50, 93, 9, 2, 5
2020/8/23, 114, 35, 55, 6, 2, 4
2020/8/24, 68, 30, 46, 6, 2, 5
2020/8/25, 54, 26, 35, 4, 2, 4
2020/8/26, 51, 25, 34, 4, 2, 4
2020/8/27, 47, 30, 80, 9, 2, 6
2020/8/28, 67, 46, 108, 9, 2, 6
2020/8/29, 113, 52, 112, 8, 2, 7
2020/8/30, 122, 49, 92, 10, 2, 7
2020/8/31, 113, 47, 70, 11, 2, 7
2020/9/1, 100, 55, 113, 11, 3, 7
2020/9/2, 119, 55, 119, 14, 3, 9
2020/9/3, 120, 65, 142, 15, 4, 9
2020/9/4, 144, 47, 47, 9, 2, 7
2020/9/5, 103, 28, 35, 10, 2, 6
2020/9/6, 64, 32, 52, 9, 2, 5
2020/9/7, 59, 22, 22, 8, 1, 5
2020/9/8, 32, 16, 19, 9, 1, 5
2020/9/9, 25, 21, 28, 8, 1, 5
2020/9/10, 37, 37, 36, 11, 2, 6
2020/9/11, 59, 22, 20, 9, 1, 6
2020/9/12, 31, 25, 70, 10, 1, 6
2020/9/13, 58, 33, 73, 13, 1, 7
2020/9/14, 65, 24, 46, 9, 1, 6
2020/9/15, 49, 28, 13, 17, 1, 8
2020/9/16, 53, 30, 14, 11, 1, 6
2020/9/17, 46, 23, 19, 10, , 5
2020/9/18, 53, 19, 14, 10, 1, 5
2020/9/19, 61, 16, 16, 9, , 5
2020/9/20, 21, 26, 33, 10, 1, 5
2020/9/21, 39, 21, 24, 7, , 5
2020/9/22, 33, 25, 41, 6, 1, 5
2020/9/23, 44, 32, 37, 10, 1, 5
2020/9/24, 54, 36, 58, 17, 2, 7
2020/9/25, 74, 41, 101, 16, 3, 7
2020/9/26, 81, 38, 53, 11, 1, 5
2020/9/27, 66, 48, 40, 24, 2, 7
2020/9/28, 89, 51, 41, 22, 2, 7
2020/9/29, 88, 35, 35, 16, 1, 6
2020/9/30, 62, 33, 52, 13, 1, 7
2020/10/1, 65, 24, 62, 7, 1, 5
2020/4/2, 66, 79, 17, 26, 2, 9
2020/4/3, 135, 44, 17, 21, 2, 9
2020/4/4, 87, 26, , 18, 2, 7
2020/4/5, 65, 21, , 15, 1, 6
2020/4/6, 60, 19, , 17, 1, 7
2020/4/7, 53, 33, 1, 22, 2, 8
2020/4/8, 75, 58, 36, 29, 2, 11
2020/4/9, 130, 47, 85, 17, 2, 6
2020/4/10, 90, 40, 60, 15, 2, 4
2020/4/11, 73, 47, 34, 12, 1, 5
2020/4/12, 104, 24, 50, 10, 2, 4
2020/4/13, 39, 43, 82, 14, 3, 3
2020/4/14, 76, 55, 81, 16, 4, 5
2020/4/15, 121, 73, 121, 30, 5, 6
2020/4/16, 148, 45, 61, 9, 1, 6
2020/4/17, 87, 40, 42, 12, 1, 5
2020/4/18, 76, 43, 33, 10, 1, 5
2020/4/19, 74, 37, 32, 5, 1, 5
2020/4/20, 73, 29, , 4, 1, 4
2020/4/21, 59, 25, 16, 5, 1, 4
2020/4/22, 55, 15, 21, 14, 1, 7
2020/4/23, 45, 25, 7, 19, 2, 8
2020/4/24, 56, 29, 17, 17, 2, 6
2020/4/25, 62, 52, 43, 25, 3, 7
2020/4/26, 131, 65, 99, 19, 4, 8
2020/4/27, 131, 69, 116, 25, 4, 8
2020/4/28, 136, 56, 93, 17, 3, 5
2020/4/29, 94, 49, 62, 8, 2, 4
2020/4/30, 82, 48, 68, 13, 2, 5
2020/5/1, 83, 32, 17, 6, 1, 4
2020/5/2, 72, 32, 35, 5, 2, 5
2020/5/3, 67, 32, 41, 6, 2, 5
2020/5/4, 60, 28, 42, 4, 2, 4
2020/5/5, 57, 20, 25, 3, 2, 4
2020/5/6, 39, 24, 22, 3, 1, 4
2020/5/7, 48, 18, 21, 3, 1, 4
2020/5/8, 36, 17, 21, 3, 1, 3
2020/5/9, 27, 18, 21, 3, 1, 3
2020/5/10, 31, 22, 33, 5, 1, 4
2020/5/11, 38, 40, 85, 13, 1, 8
